POLYMER_USED,DRUG,poly_logp_H,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,poly_homo_eV_H,poly_lumo_eV_H,drug_homo_eV,drug_lumo_eV,poly_charge_at_WATER_PH_H,drug_charge_at_WATER_PH
*CCCCCCOC(=O)c1ccc(/C=N/c2ccc(C(C)(C)c3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.4250,1.2352,74.1900,2.5662,-8.1218,-7.4167,-9.9990,-6.9188,-1.0000,1
*CCCOC(=O)C(C)CCC(=O)OC(Oc1ccccc1)C(=O)O*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,2.3888,1.2352,88.1300,3.1208,-10.6863,-7.5467,-9.7316,-6.9711,-1.0000,1
*CCCCCCCSC(=O)c1ccc(C(=O)NCCCCCCCNC(=O)c2ccc(C(=O)N*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,5.7396,1.2352,104.3700,2.3705,-10.6368,-8.0377,-9.9571,-7.2014,-2.0000,1
*CC(CC)(C)CCC(=O)OCCCCCOC(=O)c1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,5.3117,1.2352,95.9700,2.4360,-11.0620,-8.1699,-9.8064,-6.9925,-1.0000,1
*CCCCCCCCCCCCOC(=O)SCCCCCSCCCCCCC(=O)OC(=O)c1ccc(C(=O)O*)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,9.7129,1.2352,95.9700,2.8833,-8.6667,-7.5687,-7.2679,-6.4214,-1.0000,1
*CCCOC(=O)COC(=O)c1ccc(NC(=O)c2ccc(C(=O)S*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,3.1189,1.2352,98.7700,2.0804,-8.5508,-7.6920,-9.8826,-7.0320,-1.0000,1
*CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCC(=O)NCCCCSCCNC(=O)O*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,9.0289,1.2352,93.7300,2.6537,-9.8505,-6.4164,-9.8365,-7.0374,-1.0000,1
*CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)NCCCCOC(=O)CCCC(=O)O*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.7893,1.2352,110.8000,2.4674,-10.4610,-6.7130,-9.8297,-6.8838,-1.0000,1
*Nc1ccc(NC(=O)CCCC(=O)Nc2ccc(-c3ccc(*)s3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,4.7448,1.2352,70.2300,1.9221,-9.6248,-6.9108,-9.8415,-6.9853,-1.0000,1
*CCCCCCCOC(=O)NCCSCSSCCSCCNC(=O)O*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,4.7559,1.2352,76.6600,3.0054,-10.0351,-7.0874,-9.8179,-6.9616,-1.0000,1
*CCCCCCCCCSCCCCCCC(=O)NCCCCCCCNC(=O)CC(=O)N*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,5.4790,1.2352,87.3000,2.4872,-9.4504,-6.3872,-9.8455,-6.7581,-3.0000,1
*CC(C#N)=C/C=C/C(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,4.3319,1.2352,91.2200,2.4430,-8.3854,-6.6953,-9.6866,-6.8428,-2.0000,1
*C(=O)CN(c1ccc(CC(C)(C)c2ccccc2)cc1)C(=O)NCCCCCSCCNC(=O)C(=O)NCCCSCCCCNC(*)=O,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,4.7072,1.2352,136.7100,3.3673,-8.1446,-7.4528,-9.5496,-6.7767,-2.0000,1
*Oc1c(C)cc(C)c(NC(=O)CCCCC(*)=O)c1C#N,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,2.5785,1.2352,79.1900,2.6335,-10.4970,-7.3917,-10.0684,-6.9292,-2.0000,1
*c1ccc(OC(=O)c2ccc(C(=O)O*)cc2C)c(OC(=O)c2ccccc2)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,4.1316,1.2352,78.9000,1.8750,-11.1904,-8.1469,-9.5838,-6.9011,-1.0000,1
*CCOCCOCCCOCCOCCOCCOCCCOCCOc1ccc(C(=O)Nc2ccc(OC(=O)Nc3ccc(C(=O)Nc4ccc(O*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,6.8028,1.2352,179.6000,3.0137,-10.1383,-7.3252,-9.8835,-7.0808,-1.0000,1
*Nc1ccc(C(=O)c2ccc(C(=O)NCCCCCCCNC(=O)c3ccc(NC(=O)SCCCCCCCCC(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,9.2446,1.2352,145.5000,2.8124,-7.7714,-7.1105,-9.6764,-6.9025,-1.0000,1
*CCCCCCCCCCCCCCCC(=O)OCCc1ccc(C(=O)OC(=O)O*)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,7.0884,1.2352,78.9000,2.2859,-11.1380,-8.2051,-9.8351,-7.0559,-1.0000,1
*CCCCCCCCCCCCOC(=O)c1ccc(C(=O)NSCCC(=O)O*)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,5.6170,1.2352,81.7000,2.4304,-8.0620,-7.2638,-9.8757,-6.8433,-2.0000,1
*CCCCCCCCCCCCCCCCCCNC(=O)NCCSCCCCCNC(=O)CCCCCCCCCCCCC(=O)NC(=O)N*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,10.4429,1.2352,128.4300,2.7911,-9.7623,-6.8291,-9.7688,-6.9493,-1.0000,1
*Oc1ccc(CC(NC(=O)NCC)C(*)=O)cc1C(C)C,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,1.9447,1.2352,67.4300,2.9012,-7.7241,-6.2838,-9.7226,-6.8796,-1.0000,1
