POLYMER_USED,DRUG,poly_logp_H,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,poly_homo_eV_H,poly_lumo_eV_H,drug_homo_eV,drug_lumo_eV,poly_charge_at_WATER_PH_H,drug_charge_at_WATER_PH
*CC(*)C(=O)OCCCCN=CC(C)CCOC(=O)c1ccc(C(=O)Oc2ccc(NC(C)CC)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.1034,1.3101,103.2900,3.5054,-8.0556,-6.6944,-11.4778,-7.8688,1.0000,-1
*CC(*)(C)C(=O)OCCOC(=O)C(Oc1ccccc1)C[N+](C)(CC)C,CC(=O)OC1=CC=CC=C1C(=O)O,2.2727,1.3101,61.8300,3.1075,-4.5277,-2.7180,-11.4778,-7.8688,1.0000,-1
*CC/C=C/c1ccc(N*)cc1/N=N/c1ccc(/N=N/c2ccc([N+]c3ccccc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,9.0904,1.3101,75.5700,3.3854,-8.2406,-6.5362,-11.4778,-7.8688,1.0000,-1
*CC(*)(C)C(=O)Oc1ccc(OCC[N+](C)(C)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,4.4555,1.3101,78.6700,2.7387,-6.2412,-4.9694,-11.4778,-7.8688,1.0000,-1
*Oc1ccc([N+](=O)Oc2ccc(Oc3ccc(/C=N/c4ccc(/C=C/c5ccc(/C=C/c6cc(*)ccc6)cc5)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,10.6803,1.3101,60.1300,2.9193,-7.6885,-7.1053,-11.3751,-7.8683,1.0000,-1
*N=P(*)(CC(C)C)NCCCOCCOCCOCCOCCOC(C)=O,CC(=O)OC1=CC=CC=C1C(=O)O,2.1432,1.3101,87.6100,3.7947,-6.6476,-4.0578,-11.4778,-7.8688,1.0000,-1
*CCN(C)C(=O)CCc1ccc(CNC(=O)CCCCCCCC(=O)NCCCCCCCNC(=O)c2ccc(O*)cc2)nc1,CC(=O)OC1=CC=CC=C1C(=O)O,5.0417,1.3101,129.7300,2.6963,-9.7718,-6.9446,-11.4778,-7.8688,1.0000,-1
*CC(*)(N)C(=O)OC(C)CCCCCCCN(Cc1ccc(OC)cc1)Nc1ccc(C#N)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,5.0155,1.3101,100.6100,3.3802,-10.0555,-6.8844,-11.4778,-7.8688,1.0000,-1
*CC(CSCOc1ccc(-c2ccc(OC(=O)CCCCCCCNC(=O)c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1)CCC[N+](C)(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,9.4739,1.3101,93.7300,3.4240,-4.7411,-4.3197,-11.4778,-7.8688,1.0000,-1
*C[n+]1ccc(COc2ccc(OCCCCCCCONCCCOCCO*)cc2)cC(C)c1,CC(=O)OC1=CC=CC=C1C(=O)O,4.1178,1.3101,61.1900,3.7533,-5.2874,-3.7806,-11.3751,-7.8683,1.0000,-1
*CCCC[N+](C)(C)COC(*)C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)OC1=CC=CC=C1C(=O)O,6.5689,1.3101,61.8300,4.2545,-5.3956,-3.5867,-11.4778,-7.8688,1.0000,-1
*CCCCCN(CCCOC(=O)NCc1ccc(CNC(=O)O*)cc1)OCCCC,CC(=O)OC1=CC=CC=C1C(=O)O,4.2944,1.3101,89.1300,2.5800,-9.9209,-6.5620,-11.4778,-7.8688,1.0000,-1
*CC(*)C(=O)OCCN(CC)CCOc1ccc(-c2ccc(C#N)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,3.8792,1.3101,62.5600,2.1696,-7.4786,-6.6966,-11.3751,-7.8683,1.0000,-1
*CCCCCCCCCOC(=O)c1ccc(C(=O)OCCCN(*)CCCCCC)nn1,CC(=O)OC1=CC=CC=C1C(=O)O,5.1008,1.3101,81.6200,2.4161,-8.5352,-7.0632,-11.3751,-7.8683,1.0000,-1
*CCN(C)C(=O)C(C)S(=O)(=O)C([2H])(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO*,CC(=O)OC1=CC=CC=C1C(=O)O,2.7324,1.3101,63.6800,4.3975,-10.8730,-6.6941,-11.3751,-7.8683,1.0000,-1
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCOc1ccc(/N=N/c2ccc(OC[N+]Nc3ccc([N+](=O)[O-])cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,12.7219,1.3101,138.7500,3.3259,-8.6306,-7.1024,-11.4778,-7.8688,1.0000,-1
*CCN(CCOC(=O)CCCCCCCCCC(=O)OCCCCCCCCOc1ccc(N(*)C)cc1)OC,CC(=O)OC1=CC=CC=C1C(=O)O,6.9283,1.3101,77.5400,2.7290,-9.1571,-6.5624,-11.3751,-7.8683,1.0000,-1
*CC(*)(OC(C)CN(C)CCC(=O)OCC(C)=O)NCCCCCCCCC,CC(=O)OC1=CC=CC=C1C(=O)O,3.5318,1.3101,67.8700,3.5060,-7.3947,-6.6120,-11.3751,-7.8683,2.0000,-1
*Cc1ccc(CN(C)C(=O)c2ccc(C(=O)NCCSCCCSCN(*)CC)nc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,3.8155,1.3101,65.5400,2.7164,-7.7949,-7.1417,-11.4778,-7.8688,1.0000,-1
*CCN(*)CC(=O)CCCCCC(=O)OCCCCCCCCCCCCCCOc1ccc(C(=O)OCC[N+](C)(C)C)c(C)c1,CC(=O)OC1=CC=CC=C1C(=O)O,7.5903,1.3101,82.1400,2.9322,-5.0428,-3.9242,-11.4778,-7.8688,1.0000,-1
*CCN(CCl)C(=O)CN(CCCCNC(=O)O*)C(C)CCCCC,CC(=O)OC1=CC=CC=C1C(=O)O,3.3498,1.3101,61.8800,3.1680,-9.1841,-6.3154,-11.3751,-7.8683,1.0000,-1
*OC(C)CCCN(*)CCCOCCOCc1ccc(-c2ccc(NC(=O)CCCCCCCCCCCCCCCCCCCC)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,11.3978,1.3101,60.0300,3.2022,-9.5557,-6.7900,-11.3751,-7.8683,1.0000,-1
*NCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)NCCc1ccc(CNC(=O)CCCCCC(=O)NCCCCCCOCC(=O)CN*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,7.6567,1.3101,163.9600,3.1369,-7.3649,-6.4809,-11.3751,-7.8683,2.0000,-1
*CCCCCCCCOC(=O)Oc1ccc(-c2ccc(O*)c(Cl)c2)cc1OCCCCCCCCC[N+](C)(C)[PH](OC)C,CC(=O)OC1=CC=CC=C1C(=O)O,10.0948,1.3101,63.2200,3.6425,-4.5034,-3.6518,-11.4778,-7.8688,1.0000,-1
*CC(OCCC)CC(C)S(=O)(=O)CCC(=O)NC(=O)NCCOCCOCCCOc1ccc(/N=N/c2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,4.8341,1.3101,163.2100,3.8779,-8.0310,-6.8585,-11.4778,-7.8688,1.0000,-1
*CC(O)CN(*)CCOCCOc1ccc(/N=C/c2ccc(/N=N/c3ccc(OCCCCCCC)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,7.5676,1.3101,88.2400,3.2243,-8.4213,-7.5019,-11.3751,-7.8683,1.0000,-1
*CCCCCCCCCCCCCCNC(=O)c1ccc(C(=O)NC(=O)NCCOCCCCNC(=O)c2ccc(*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.7837,1.3101,125.6300,2.4409,-10.6173,-7.8286,-11.3751,-7.8683,1.0000,-1
*NN=P(C)(NC)c1cc(Cl)c(C(*)=O)cc1OC(C)(C#N)C=C/c1ccc(OC)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,4.0000,1.3101,95.7400,4.4025,-7.1614,-6.8524,-11.4778,-7.8688,1.0000,-1
*C(=O)Oc1ccc(N(CC(=O)Cc2ccccc2)C(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.9964,1.3101,63.6800,2.5678,-10.6830,-7.8125,-11.3751,-7.8683,1.0000,-1
*CCCCCCCCCCCN(CCC)CC(=O)CCCNC(=O)OC(=O)COCC(CO*)OC,CC(=O)OC1=CC=CC=C1C(=O)O,3.8552,1.3101,103.4000,3.3832,-7.3629,-5.8847,-11.4778,-7.8688,1.0000,-1
*CC(*)C(=O)N(CCl)C(=O)OCCOc1ccc(/N=N/C=C/c2ccc(F)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,5.5306,1.3101,80.5600,2.9813,-8.4761,-7.4958,-11.3751,-7.8683,1.0000,-1
*CCN(CCOC(=O)c1ccc(/N=C/c2ccc(C(=O)N*)cc2)cc1)Oc1ccc(OC(C)CCCCCCCCC)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,7.9168,1.3101,89.4600,3.3611,-8.1262,-7.1955,-11.3751,-7.8683,1.0000,-1
*C(C)(C)CN(C)C(=O)C(=O)NC(=O)/C(=N/c1ccc(Sc2ccccc2)cc1)C(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,2.8664,1.3101,95.9100,3.0448,-8.4961,-8.1676,-11.4778,-7.8688,1.0000,-1
*CC(*)(C)C(=O)OCCOc1ccc(/N=N/c2ccc(F)cc2)cc1C(C)CC[N+](C)(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,6.0189,1.3101,60.2500,3.3838,-4.7663,-4.2269,-11.4778,-7.8688,1.0000,-1
*NC(CCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1)NC(=O)CCCCC(C)CNC(=S)Nc1ccc(/C=C/c2ccc(*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,9.6674,1.3101,122.9300,3.8509,-8.5713,-7.4057,-11.4778,-7.8688,1.0000,-1
*NC(CCCCCCCCCNC(=O)NCCCCCCCCCCCNC(=O)O*)c1ccc(C[N+](C)(C)C)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,7.0911,1.3101,91.4900,3.2245,-4.4623,-3.3769,-11.4778,-7.8688,1.0000,-1
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCCCCC[N+](C)(C)CCCCOc1ccccc1,CC(=O)OC1=CC=CC=C1C(=O)O,14.1214,1.3101,61.8300,2.8946,-4.9935,-3.0786,-11.4778,-7.8688,1.0000,-1
*CC(*)(CC(C)C)C(=O)N(C)OCCOc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(Cl)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.2294,1.3101,91.3700,3.0222,-10.6834,-7.8963,-11.3751,-7.8683,1.0000,-1
*N=P(*)(OCC[N+](C)(C)C)O[Si](C)(C)O[Si](C)(C)OCOCCCOc1ccc(-c2ccc(C(C)(C)c3ccc([N+](=O)[O-])cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.3135,1.3101,110.8800,4.1890,-4.5976,-4.3363,-11.4778,-7.8688,1.0000,-1
*CC(*)C(=O)OCCOC(C)CCOC(=O)OC(C)[N+](C)(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,1.9402,1.3101,71.0600,3.8006,-4.3880,-2.5251,-11.4778,-7.8688,1.0000,-1
*NC(CCCCCC)OC(=O)SSSCCCCCCCCCCCCCCCCCCCCCC(=O)N(*)C(=O)OC,CC(=O)OC1=CC=CC=C1C(=O)O,11.0924,1.3101,84.9400,3.5812,-10.6087,-7.5496,-11.4778,-7.8688,1.0000,-1
*CC(*)(Cl)C(=O)OCCOCC(=O)c1ccccc1C(=O)OCCCCN(CC)C,CC(=O)OC1=CC=CC=C1C(=O)O,2.9451,1.3101,82.1400,2.9609,-8.0656,-7.4695,-11.4778,-7.8688,1.0000,-1
*CCCN(CCCCOc1ccc(/C=N/c2ccc([N+](=O)[O-])cc2)cc1)C(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,4.3728,1.3101,85.0400,2.5649,-8.5866,-7.9834,-11.3751,-7.8683,1.0000,-1
*CCOC(=O)CN(CC)CCCCC(=O)OC(=O)CCOc1ccc(O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,2.2862,1.3101,91.3700,2.3811,-7.8939,-6.7576,-11.3751,-7.8683,1.0000,-1
*CCCCCCCCCCCCCCCCCOC(=O)NC(C)CCNCc1ncc(C(=O)N*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.6463,1.3101,92.3500,2.9718,-7.5945,-7.2461,-11.3751,-7.8683,1.0000,-1
*CCCCCCCCCCOCCCOC(=O)c1ccc(C(=O)ONCCCCCCCCc2ccc(S(*)(=O)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,7.6058,1.3101,108.0000,3.0568,-8.3548,-7.2009,-11.4778,-7.8688,1.0000,-1
*OC(CC(=O)NCCCCCNCC(=O)OCCCCCCCCCSC(*)=O)CC(C)C(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,4.4930,1.3101,93.7300,3.6511,-7.6037,-6.5965,-11.3751,-7.8683,1.0000,-1
*NC(CS(=O)(=O)Cc1ccc(Cc2ccc(C(*)=O)cc2)cc1)C#N,CC(=O)OC1=CC=CC=C1C(=O)O,1.8556,1.3101,87.0300,2.9262,-10.7931,-7.8931,-11.3751,-7.8683,1.0000,-1
*CC(*)C(=O)OCN(CO)CCCCOCOC(=O)OCc1ccc(Oc2ccc(C(C)C)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,5.1723,1.3101,103.7600,2.7936,-10.1390,-6.7091,-11.4778,-7.8688,1.0000,-1
*CCCCCCN(C)C(=O)CC(=O)NC(=O)NCCCCOC(=O)c1ccc(*)nc1,CC(=O)OC1=CC=CC=C1C(=O)O,2.2732,1.3101,117.7000,2.4274,-8.0587,-7.4113,-11.4778,-7.8688,1.0000,-1
*CCCCCCCNC(=O)c1ccc(C(=O)NCCNCCC(=O)c2ccc(C*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,4.2876,1.3101,87.3000,2.0757,-7.4723,-7.2027,-11.3751,-7.8683,1.0000,-1
*O[Si](*)(C)CC[N+](CC)(C)CCOc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,4.2014,1.3101,86.3200,3.9796,-5.0974,-4.7887,-11.4778,-7.8688,1.0000,-1
*COC(=O)c1cccc(S(=O)(=O)c2ccc(N(*)CCCCCCCCC)cc2)c1[N+]CCCCCCCCCCCCCCCCCC,CC(=O)OC1=CC=CC=C1C(=O)O,11.9659,1.3101,77.7800,3.0627,-7.4397,-6.7389,-11.3751,-7.8683,1.0000,-1
*CC(*)C(=O)OCCNN(CC)c1ccc(/N=N/c2ccc(C#N)cc2)c(C)c1,CC(=O)OC1=CC=CC=C1C(=O)O,4.5662,1.3101,90.0800,2.9851,-8.3478,-7.2670,-11.3751,-7.8683,2.0000,-1
*N=P(*)(OCCCCCCCCOCCOCCOCOCCNCCOCCOCCOCCOC)OCCCOC,CC(=O)OC1=CC=CC=C1C(=O)O,3.5130,1.3101,125.9200,3.7585,-8.6639,-4.2942,-11.3751,-7.8683,1.0000,-1
*OC(C)CNC(=O)CCCCCCCCCCC(=O)N1CCN(*)CC1,CC(=O)OC1=CC=CC=C1C(=O)O,1.8162,1.3101,61.8800,2.6791,-9.9285,-5.6446,-11.3751,-7.8683,1.0000,-1
*CC(*)C(=O)OCCC[N+](C)(CC)CCC(=O)Oc1ccc(C(=O)Oc2ccc(OC(C)=O)c(OCCOC)c2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,3.9616,1.3101,123.6600,3.3567,-5.1831,-3.8416,-11.3751,-7.8683,1.0000,-1
*N(C)CC(C=O)N(*)C1C(C)Occ(OCCCOc2ccc(C(=O)OCCOCCOCCCOCCOC)cc2)CC1,CC(=O)OC1=CC=CC=C1C(=O)O,2.5006,1.3101,114.4600,4.2608,-7.4811,-6.6276,-11.3751,-7.8683,2.0000,-1
*CC(*)C(=O)OCCNCC(=O)c1ccc(OCCCC)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,2.5910,1.3101,64.6300,2.0532,-7.5719,-6.5511,-11.3751,-7.8683,1.0000,-1
*CNC(=O)c1ccc(SC(=O)NCCCN(*)CCC)c(C(=O)OC)c1,CC(=O)OC1=CC=CC=C1C(=O)O,2.0242,1.3101,87.7400,2.5094,-7.4050,-6.2038,-11.3751,-7.8683,1.0000,-1
*NC(Br)C(=O)NCCCCCNCC(=O)SCCCCCCCC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,2.3415,1.3101,87.3000,3.4228,-10.1914,-7.5110,-11.4778,-7.8688,1.0000,-1
*CCCCCCC(=O)NCCCCCNC(=O)C1CCN(*)CC1,CC(=O)OC1=CC=CC=C1C(=O)O,2.3591,1.3101,61.4400,2.0854,-10.0604,-5.5923,-11.4778,-7.8688,1.0000,-1
*CCN(CCOC(=O)N(C(=O)NCCCCCCCCCN)C(=O)O*)c1ccc(/N=N/c2ccccc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.4439,1.3101,138.9200,2.9796,-7.3870,-6.1073,-11.3751,-7.8683,1.0000,-1
*NC(COC(*)=O)OCCCCCCCCCCCCOc1ccc(/N=N/c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,9.1798,1.3101,149.3700,3.6424,-8.4683,-7.2264,-11.3751,-7.8683,1.0000,-1
*NC(CCOCCCCCCCCCCCCCC)C(OC(=O)CC(*)=O)CCC,CC(=O)OC1=CC=CC=C1C(=O)O,5.7224,1.3101,64.6300,3.4717,-7.5843,-6.5663,-11.3751,-7.8683,1.0000,-1
*Nc1ccc(NC(=O)SCN(CCC(*)=O)NCCC)c(C)c1,CC(=O)OC1=CC=CC=C1C(=O)O,2.6054,1.3101,73.4700,3.2586,-7.5162,-6.5022,-11.3751,-7.8683,1.0000,-1
*c1ccc(-c2ccc(N(C)(=O)c3ccc(C(=O)OCCCCCCCCCCCCCCCCCNC(=O)c4ccc(*)s4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,11.6200,1.3101,78.4600,3.3950,-7.4064,-6.7827,-11.3751,-7.8683,1.0000,-1
*CCCCCCCCC[N+](C)(C)CCCNC(=O)CC(=O)NCCCCCCCCNC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,4.4342,1.3101,96.5300,2.6769,-4.1289,-2.0944,-11.3751,-7.8683,1.0000,-1
*CCN(*)CCCCCOc1ccc(-c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.8358,1.3101,80.3300,2.3356,-8.6246,-7.2108,-11.3751,-7.8683,1.0000,-1
*N/C=C(\C)c1ccc(/N=N/c2ccc(/N=N/c3ccc(*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.8369,1.3101,61.4700,2.7397,-8.0395,-6.3478,-11.4778,-7.8688,1.0000,-1
*N=P(*)(OCCN)O[Si](C)(C)CCCOc1ccc(/N=N/c2ccccc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,5.8745,1.3101,90.7900,3.7601,-7.9347,-6.1887,-11.4778,-7.8688,1.0000,-1
*NC(CCCCNC(=O)c1cccc(C(=O)OCCSCCSCCCCCO*)c1)Oc1ccc(C(=O)Oc2ccc(OC(C)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,5.8808,1.3101,138.4900,3.4830,-7.6632,-7.2169,-11.4778,-7.8688,1.0000,-1
*CCCCCCCOC(=O)C(C=CC=C)NCCCC(=O)OCCCCCO*,CC(=O)OC1=CC=CC=C1C(=O)O,3.6864,1.3101,73.8600,3.3033,-9.7919,-6.6973,-11.3751,-7.8683,1.0000,-1
*CC(*)C(=O)N(C)OCCOc1ccc(/N=N/N=C/c2ccc(C#N)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,3.8549,1.3101,99.6400,3.0275,-8.8239,-7.5697,-11.4778,-7.8688,1.0000,-1
*CCCCCCCCCCCCCOC(=O)c1cccc(C(=O)NCCCCCN*)c1,CC(=O)OC1=CC=CC=C1C(=O)O,6.0132,1.3101,67.4300,2.0934,-7.6668,-7.1710,-11.4778,-7.8688,1.0000,-1
*CC(*)(C)C(=O)OCCN(C)CC(=O)OCCOc1ccc(C(=O)OC(C)CCCCCCc2ccc([N+](=O)[O-])o2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,4.9793,1.3101,147.6500,3.3497,-9.0133,-7.3014,-11.4778,-7.8688,1.0000,-1
*CC(F)(F)C(F)(F)C(F)(F)CNC(=O)NC(=O)c1ccc(CO*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,2.5441,1.3101,67.4300,2.5567,-11.2318,-7.8772,-11.3751,-7.8683,1.0000,-1
*NC(CCCNC(=O)Oc1ccc(/N=N/CC/C=C/c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1)C(=O)OCC,CC(=O)OC1=CC=CC=C1C(=O)O,6.1123,1.3101,118.4500,3.3796,-7.9563,-6.8122,-11.4778,-7.8688,1.0000,-1
*CC(*)C(=O)N(C)C(=O)OCOCC[N+](C)(C)COc1ccc(C(=O)Nc2ccccc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,3.3307,1.3101,94.1700,2.8207,-5.1581,-4.7160,-11.3751,-7.8683,1.0000,-1
*CC[N+](*)(C)CCCCCCCNC(=O)c1ccc(OCC(=O)c2ccc(/N=NN/c3ccccc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,5.2740,1.3101,92.1500,3.4822,-4.8226,-4.2951,-11.4778,-7.8688,1.0000,-1
*CC(O)CN(CCCNC(=O)CCCc1ccccc1)C(=O)OCCCCOc1ccc(*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,4.1942,1.3101,88.1000,2.7154,-10.2063,-6.2516,-11.3751,-7.8683,1.0000,-1
*N=P(*)(OC[N+](C)(C)C)C(=O)Oc1ccccc1OCC(C)(CC)OC(F)(F)F,CC(=O)OC1=CC=CC=C1C(=O)O,4.8412,1.3101,66.3500,4.4926,-4.2038,-3.1785,-11.3751,-7.8683,1.0000,-1
