PSMILES,SA_score,diversity,num_hbond_donors_sum_fullmolecularfeaturizer,num_hbond_acceptors_sum_fullmolecularfeaturizer,num_rotatable_bonds_sum_fullmolecularfeaturizer,num_rings_sum_fullmolecularfeaturizer,num_non_aromatic_rings_sum_fullmolecularfeaturizer,num_aromatic_rings_sum_fullmolecularfeaturizer,num_atoms_sum_fullmolecularfeaturizer,topological_surface_area_sum_fullmolecularfeaturizer,fraction_bicyclic_rings_sum_fullmolecularfeaturizer,num_aliphatic_heterocycles_sum_fullmolecularfeaturizer,slogp_vsa1_sum_fullmolecularfeaturizer,balaban_j_index_sum_fullmolecularfeaturizer,molecular_weight_sum_fullmolecularfeaturizer,sp3_carbon_count_sum_fullmolecularfeaturizer,sp2_carbon_count_sum_fullmolecularfeaturizer,max_estate_index_sum_fullmolecularfeaturizer,smr_vsa5_sum_fullmolecularfeaturizer,fp_density_morgan1_sum_fullmolecularfeaturizer,total_halogens_sum_fullmolecularfeaturizer,fluorine_count_sum_fullmolecularfeaturizer,chlorine_count_sum_fullmolecularfeaturizer,bromine_count_sum_fullmolecularfeaturizer,iodine_count_sum_fullmolecularfeaturizer,single_bonds_sum_fullmolecularfeaturizer,double_bonds_sum_fullmolecularfeaturizer,triple_bonds_sum_fullmolecularfeaturizer,bridging_rings_count_sum_fullmolecularfeaturizer,max_ring_size_sum_fullmolecularfeaturizer,heteroatom_count_sum_fullmolecularfeaturizer,heteroatom_density_sum_fullmolecularfeaturizer,num_hbond_donors_sum_fullpolymerfeaturizer,num_hbond_acceptors_sum_fullpolymerfeaturizer,num_rotatable_bonds_sum_fullpolymerfeaturizer,num_rings_sum_fullpolymerfeaturizer,num_non_aromatic_rings_sum_fullpolymerfeaturizer,num_aromatic_rings_sum_fullpolymerfeaturizer,num_atoms_sum_fullpolymerfeaturizer,topological_surface_area_sum_fullpolymerfeaturizer,fraction_bicyclic_rings_sum_fullpolymerfeaturizer,num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,slogp_vsa1_sum_fullpolymerfeaturizer,balaban_j_index_sum_fullpolymerfeaturizer,molecular_weight_sum_fullpolymerfeaturizer,sp3_carbon_count_sum_fullpolymerfeaturizer,sp2_carbon_count_sum_fullpolymerfeaturizer,max_estate_index_sum_fullpolymerfeaturizer,smr_vsa5_sum_fullpolymerfeaturizer,fp_density_morgan1_sum_fullpolymerfeaturizer,total_halogens_sum_fullpolymerfeaturizer,fluorine_count_sum_fullpolymerfeaturizer,chlorine_count_sum_fullpolymerfeaturizer,bromine_count_sum_fullpolymerfeaturizer,iodine_count_sum_fullpolymerfeaturizer,single_bonds_sum_fullpolymerfeaturizer,double_bonds_sum_fullpolymerfeaturizer,triple_bonds_sum_fullpolymerfeaturizer,bridging_rings_count_sum_fullpolymerfeaturizer,max_ring_size_sum_fullpolymerfeaturizer,heteroatom_count_sum_fullpolymerfeaturizer,heteroatom_density_sum_fullpolymerfeaturizer
*Oc1ccc(CCCNC(=O)NCCCC(=O)C(C)C(*)=O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,11.0,1.0,0.0,1.0,25.0,84.5,0.0,0.0,15.740104602853368,2.0837988449597633,318.157957184,8.0,15.0,11.701535092056703,32.60702369139466,1.173913043478261,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,6.0,8.0,0.32
CCC(=O)O[C@]1(CC[NH+](C[C@@H]1CC=C)C)c2ccccc2,4.600303999559022,0.8516359999928373,1.0,2.0,5.0,2.0,1.0,1.0,21.0,30.740000000000002,0.0,1.0,4.899909730850478,2.421156675524895,288.19580549208996,10.0,11.0,12.035035430839002,31.78725287945234,1.4761904761904763,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,6.0,3.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.447472887876344,70.07825032,5.0,0.0,1.6388888888888888,33.10993926815928,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857
C[C@@H](c1ccc(cc1)NCC(=C)C)C(=O)[O-],3.1383474317775297,0.8441991188377103,1.0,3.0,5.0,1.0,0.0,1.0,16.0,52.16,0.0,0.0,10.423315998847038,2.67386682451243,218.11865233191,4.0,12.0,10.66134484467953,19.76538044554264,1.4375,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,6.0,3.0,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)C(C)(C)CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.8231802758378657,112.12520051199999,8.0,0.0,2.48212962962963,46.95741366754052,1.75,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.2
C[C@H](Cc1ccccc1)[NH2+][C@@H](C#N)c2ccccc2,3.500292918590903,0.8570796242948717,1.0,1.0,5.0,2.0,0.0,2.0,19.0,40.4,0.0,0.0,5.316788604006331,1.9777433209729276,251.15427502808998,5.0,12.0,9.313185311161503,25.428240480912557,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,6.0,2.0,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)(C)CC=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,0.0,0.0,0.0,8.0,17.07,0.0,0.0,0.0,3.5256248299571906,84.057514876,4.0,2.0,10.047152777777779,26.18620206846865,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.375
C[C@@H](CC(c1ccccc1)(c2ccccc2)C(=O)N)[NH+](C)C,3.3892488745121687,0.8216916090880408,2.0,1.0,6.0,2.0,0.0,2.0,22.0,47.53,0.0,0.0,10.633577208012664,2.628783313688539,297.19613984009004,7.0,15.0,12.593394746787602,24.801390121161376,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0,3.0,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccc(*)cc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.0,1.0,10.0,29.46,0.0,0.0,11.172894463302317,3.0699827149988397,108.021129368,0.0,8.0,9.246342592592592,0.0,1.75,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,4.0,0.4
Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)[C@H](C)[NH+](C)C,3.435772451574172,0.8546921691557907,2.0,4.0,4.0,2.0,0.0,2.0,22.0,60.47,0.0,1.0,15.775965229908817,2.43644083335036,303.18155239609,7.0,15.0,12.659591836734695,19.88931522852921,1.2272727272727273,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,6.0,6.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)COCCCCC(C)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,8.0,0.0,0.0,0.0,13.0,26.3,0.0,0.0,0.0,3.035493331772603,156.115029752,9.0,2.0,10.608439473802479,39.53076089108528,1.7272727272727273,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,4.0,0.3076923076923077
c1ccc(cc1)[C@@H](C(=O)[O-])O,2.8240557149088943,0.7959428940615331,1.0,3.0,2.0,1.0,0.0,1.0,11.0,60.36,0.0,0.0,5.106527394840706,2.8511778901644047,151.04006766391,2.0,9.0,10.138614890400603,6.103966387748303,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,3.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*O*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.23,0.0,0.0,0.0,1.6329931618554523,15.99491462,1.0,0.0,4.75,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0
CC[C@](C)(C[NH+](C)C)OC(=O)c1ccccc1,3.573413131020785,0.8199744076086789,1.0,2.0,5.0,1.0,0.0,1.0,17.0,30.740000000000002,0.0,0.0,4.899909730850478,2.7198859109315947,236.16450536409,8.0,9.0,11.969197373393802,25.869346833290944,1.2941176470588236,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0,3.0,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C(=O)O*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,5.0,26.3,0.0,0.0,0.0,2.8473789230876716,43.98982924,0.0,3.0,9.76388888888889,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.8
COc1cc(c(c2c1OCO2)OC)CC=C,2.556031552271408,0.9064254665545937,0.0,4.0,4.0,2.0,1.0,1.0,16.0,36.92,0.5,1.0,18.947451815200196,2.575034626719236,222.089208928,4.0,12.0,5.388444822373394,6.4208216229260096,1.3125,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,6.0,4.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Cc1ccc(C(=O)OCCCCCOC(=O)OCCCCCCC(=O)C(*)=O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,16.0,1.0,0.0,1.0,31.0,95.97,0.0,0.0,0.0,1.930484532162762,404.183503236,12.0,17.0,11.94413155721221,58.29031018309871,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,6.0,9.0,0.2903225806451613
Cc1ccccc1NC(=O)[C@H](C)[NH+]2CCCC2,3.809179268144531,0.8442149866811748,2.0,1.0,3.0,2.0,1.0,1.0,17.0,33.54,0.0,1.0,10.216698334856808,1.986640575007798,233.16483971209,8.0,9.0,12.119726001511715,32.730958474381225,1.2941176470588236,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,6.0,3.0,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCN(CF)c1ccc(*)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4.0,1.0,0.0,1.0,13.0,3.24,0.0,0.0,10.966276799312087,2.729874915494075,151.07972754,4.0,7.0,12.600154478458052,6.923737199690624,1.4545454545454546,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,4.0,0.3076923076923077
COc1cccc2c1cc(c3c2c4c(cc3C(=O)[O-])OCO4)[N+](=O)[O-],2.961695192220599,0.8798288930292435,0.0,7.0,3.0,4.0,1.0,3.0,25.0,110.96000000000001,0.75,1.0,19.31711625624085,2.33535825227751,340.04627523990996,2.0,23.0,11.612564720332578,0.0,1.2,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,3.0,6.0,8.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CN(*)c1ccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,1.0,1.0,0.0,8.0,3.24,0.0,0.0,0.0,2.35837459457946,79.04219916,1.0,5.0,2.5694444444444446,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,3.0,0.375
CC(=O)Oc1ccccc1C(=O)[O-],2.369947002756078,0.8314232615842391,0.0,4.0,2.0,1.0,0.0,1.0,13.0,66.43,0.0,0.0,9.843390348640755,3.0435273546341013,179.03498228391,1.0,12.0,10.5524111866969,6.923737199690624,1.3076923076923077,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,4.0,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1c(C)c(C)c(S(=O)/c2ccc(*)cc2OC)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,4.0,2.0,0.0,2.0,21.0,35.53,0.0,0.0,15.909757417102366,2.529174997843545,274.066365308,4.0,15.0,12.936331254724111,23.638441350416798,1.105263157894737,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,6.0,6.0,0.2857142857142857
C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,5.379587089036747,0.8136592923323339,2.0,3.0,4.0,3.0,2.0,1.0,21.0,50.97,0.3333333333333333,2.0,4.899909730850478,1.632677623313254,290.17507004809,12.0,9.0,12.36919359410431,49.78884058390966,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,6.0,4.0,0.19047619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*OC(=O)CCCCCOC(=O)O*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,6.0,0.0,0.0,0.0,14.0,61.83,0.0,0.0,0.0,3.1381552197716123,174.05282342,5.0,7.0,10.742223907328976,25.683286491704038,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,7.0,0.5
C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3)[O-],4.806618786089102,0.8164798325095746,1.0,4.0,4.0,3.0,2.0,1.0,22.0,69.59,0.3333333333333333,2.0,0.0,1.650048832778602,305.162708216,13.0,9.0,12.44720061407381,49.78884058390966,1.3181818181818181,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,6.0,5.0,0.22727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C(=O)/C(*)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,0.0,0.0,6.0,34.14,0.0,0.0,0.0,3.5677034550432034,55.989829240000006,0.0,4.0,9.967592592592592,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,0.6666666666666666
c1cc(ccc1[C@@H](CC(=O)[O-])C[NH3+])Cl,3.8259415513483397,0.8458385379849692,1.0,2.0,4.0,1.0,0.0,1.0,14.0,67.77,0.0,0.0,10.84019487200289,2.7829771877466487,213.055656304,5.0,9.0,10.443913594244282,12.338727669087403,1.4285714285714286,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,6.0,4.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCOC(=O)Nc1ccc(C(*)=O)cc1OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,1.0,0.0,1.0,19.0,64.63,0.0,0.0,10.05365155780638,2.720252864196301,235.084457896,4.0,13.0,11.551157407407407,13.344558822616634,1.5294117647058822,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,6.0,7.0,0.3684210526315789
c1cc(ccc1C(=O)[O-])N[C@@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O,3.932762440652496,0.8877236993964867,4.0,7.0,3.0,2.0,1.0,1.0,19.0,122.08000000000001,0.0,1.0,10.423315998847038,2.0250296944126527,268.08266074791004,9.0,10.0,10.576328729558348,24.539800333979777,1.2105263157894737,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,6.0,7.0,0.3684210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NC(=O)OCc1ccc(O*)c(C)ccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,1.0,1.0,0.0,17.0,47.56,0.0,0.0,5.733667477162185,2.715005060252312,205.073893212,2.0,13.0,11.016676797262114,6.923737199690624,1.6,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,8.0,6.0,0.35294117647058826
C[C@@H](c1ccccc1)NNC(=O)c2ccccc2,2.1095927572663022,0.8100486966760015,2.0,2.0,4.0,2.0,0.0,2.0,18.0,41.129999999999995,0.0,0.0,10.85158279422077,1.907184204743615,240.126263132,3.0,15.0,11.806828546233309,12.965578028838586,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,3.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCC(*)(C)CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.373381552563661,84.093900384,6.0,0.0,2.4809722222222224,39.53076089108528,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.25
C[C@@H](c1ccc2c(c1)nc(o2)c3ccc(cc3)Cl)C(=O)[O-],2.8829380863971608,0.8604669618412317,0.0,4.0,3.0,3.0,0.0,3.0,21.0,66.16,0.3333333333333333,1.0,5.106527394840706,2.0377604789298283,300.04329447191,3.0,18.0,10.926949660772262,12.841643245852017,1.2380952380952381,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,6.0,5.0,0.23809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*c1ccc(/C=C/c2c(*)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,1.0,1.0,14.0,0.0,0.0,0.0,6.06636706846161,2.1109397489275756,152.062600256,0.0,12.0,2.263168461829176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,6.0,2.0,0.14285714285714285
CCc1c(c2ccccc2o1)C(=O)c3ccc(cc3)O,2.044948993772003,0.8567842732769394,1.0,3.0,3.0,3.0,0.0,3.0,20.0,50.44,0.3333333333333333,1.0,0.0,2.173924697713828,266.09429430800003,2.0,18.0,12.67078231292517,13.344558822616634,1.1,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,6.0,3.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C(=O)CC(C)(C)CCO*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,11.0,26.3,0.0,0.0,0.0,3.6952549816499474,128.083729624,7.0,2.0,10.908442460317461,26.689117645233267,1.8888888888888888,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,4.0,0.36363636363636365
c1ccc(cc1)C(=O)O[C@@H]2C[NH+]3CCC2CC3,4.637255082371755,0.8537853748869414,1.0,2.0,2.0,4.0,3.0,1.0,17.0,30.740000000000002,0.75,3.0,4.899909730850478,1.6572441159130684,232.13320523609,8.0,9.0,11.957730536659108,18.94560963360032,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,6.0,3.0,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)NCCCCCCCCCCN1C(=C/C(*)=O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,41.0,1.0,1.0,0.0,52.0,78.28,0.0,1.0,10.633577208012662,1.6910483479720435,699.627793452,39.0,11.0,12.12612935069582,225.23167237917505,0.48,0.0,0.0,0.0,0.0,0.0,48.0,4.0,0.0,0.0,3.0,8.0,0.15384615384615385
c1ccc(cc1)[C@@H](C(=O)c2ccccc2)O,1.975409740247624,0.807949920839422,1.0,2.0,3.0,2.0,0.0,2.0,16.0,37.3,0.0,0.0,0.0,2.2393989303204456,212.083729624,2.0,14.0,11.895096371882087,6.103966387748303,0.875,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCNC(=O)CC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,0.0,0.0,0.0,11.0,29.1,0.0,0.0,5.316788604006331,3.040425665876032,127.099714036,6.0,3.0,10.950717120181405,33.10993926815928,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,4.0,0.36363636363636365
