PSMILES,num_hbond_donors_sum_fullmolecularfeaturizer,num_hbond_acceptors_sum_fullmolecularfeaturizer,num_rotatable_bonds_sum_fullmolecularfeaturizer,num_rings_sum_fullmolecularfeaturizer,num_non_aromatic_rings_sum_fullmolecularfeaturizer,num_aromatic_rings_sum_fullmolecularfeaturizer,num_atoms_sum_fullmolecularfeaturizer,topological_surface_area_sum_fullmolecularfeaturizer,fraction_bicyclic_rings_sum_fullmolecularfeaturizer,num_aliphatic_heterocycles_sum_fullmolecularfeaturizer,slogp_vsa1_sum_fullmolecularfeaturizer,balaban_j_index_sum_fullmolecularfeaturizer,molecular_weight_sum_fullmolecularfeaturizer,sp3_carbon_count_sum_fullmolecularfeaturizer,sp2_carbon_count_sum_fullmolecularfeaturizer,max_estate_index_sum_fullmolecularfeaturizer,smr_vsa5_sum_fullmolecularfeaturizer,fp_density_morgan1_sum_fullmolecularfeaturizer,total_halogens_sum_fullmolecularfeaturizer,fluorine_count_sum_fullmolecularfeaturizer,chlorine_count_sum_fullmolecularfeaturizer,bromine_count_sum_fullmolecularfeaturizer,iodine_count_sum_fullmolecularfeaturizer,single_bonds_sum_fullmolecularfeaturizer,double_bonds_sum_fullmolecularfeaturizer,triple_bonds_sum_fullmolecularfeaturizer,bridging_rings_count_sum_fullmolecularfeaturizer,max_ring_size_sum_fullmolecularfeaturizer,heteroatom_count_sum_fullmolecularfeaturizer,heteroatom_density_sum_fullmolecularfeaturizer
*CCOCCOc1ccc(C=C(C#Cc2ccc(*)s2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1cccc(/C=N/c2ccc(OCCCCCCCOc3ccc(-c4ccc(/C(C=N/c5ccc(OCC(=S)c6cc(*)c(C(F)(F)C(F)(F)F)cc5)cc4)cc3)cc2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(c(cc1Br)Br)C(=O)Nc2cc(cc3c2cccc3)c4ccccc4Cl,1.0,1.0,3.0,4.0,0.0,4.0,29.0,29.1,0.25,0.0,5.316788604006331,1.8196431787102805,526.928716012,4.0,25.0,13.074387580134934,6.923737199690624,0.896551724137931,3.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,1.0,6.0,5.0,0.1724137931034483
Cc1c(cc(c(c1)CBr)CC(=O)N1CC(CC2)C(=O)c3ccc(cc3)I)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C#C/C(CC)([2H])COc1ccc(SC((=O)O*)c2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2c(n1c3cc(s2)CNC(=O)c4cc(cs4)CCCC4)C(=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)(C)C(=O)OC(C(F)(F)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*N=P(*)(Oc1ccccc1)C(=O)OCCCCCOc1cc(-c2ccc(OCCOC(CCC)C)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(cc1)OC(=O)[C@H](C)Oc2ccccc2F,0.0,4.0,5.0,2.0,0.0,2.0,21.0,44.760000000000005,0.0,0.0,14.210588861400147,1.9717234818847824,290.09543718000003,4.0,17.0,13.432658898779653,13.027703587438927,1.0476190476190477,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,6.0,5.0,0.23809523809523808
*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc2c(c1)cc3cc2c(cn3)C(=O)Nc4ccc(cc4)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCNC(=O)CCCCCCC(=O)OCCCCO*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)CC(=O)NCC(C)C[Si](C)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(OC)C(COCOC(=O)c1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1)CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCC(C)(CCCC)OC(CS(*)(C)C)CCCCCCCOC(=O)OCCCCCOc1ccc(OC(C)(OC)C/c2cc(-n3cc(O*)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NC(F)(F)C(F)(F)C(F)(F)CN(*)C(=O)OCCCCCCCCOc1ccc(C(=O)OCCOc2cccc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OC(=O)c1cccc(c1S(=O)(=O)Nc2ccc(cc2Br)OC)C,1.0,6.0,5.0,2.0,0.0,2.0,26.0,98.77000000000001,0.0,0.0,9.458957818252138,2.492513402155801,440.98817033200004,5.0,21.0,12.884265006928697,18.742957874899023,1.1538461538461537,1.0,0.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,6.0,9.0,0.34615384615384615
*CCCCCNC(=O)CCCC(*)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*OC(CCCOCc1ccc(-c2ccc(OC(=O)CCCCCCCC(*)=O)cc2)cc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H]1C[C@H](C[C@H](O1)C)[NH3+],1.0,1.0,0.0,1.0,1.0,0.0,9.0,36.870000000000005,0.0,1.0,5.733667477162185,2.340851616437875,130.12264055209,9.0,0.0,5.516527777777778,44.93889124987783,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,2.0,0.2222222222222222
*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)CCCSCCNC(*)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(cn(n1C)S[C@H](c2ccccc2)C)C(=O)NSc3nnccc3SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc2c(c1)c3c4nc4c(n3)n(n2)cnn4c(ns4)N)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCNC(=O)O*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1N2C(=O)C[C@@H](C2=O)c3cccc(c3)C(=O)N)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc(sc1)C(=O)Nc2ccccc2F,1.0,2.0,2.0,2.0,0.0,2.0,15.0,29.1,0.0,1.0,5.316788604006331,2.1662245827474242,221.031063096,1.0,14.0,13.180290060468632,0.0,1.2,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,4.0,0.26666666666666666
c1cc(c(c1)/C=C/2\C(=O)NC(=S)N(C2)SC[C@H]3CC(=O)[O-])Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(c(c1)S(=O)(=O)NC(C)(=O)n2cnnc3cs2)N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1cccc(c1)c2nnc(s2)CC(=O)NNc3ccco3,2.0,7.0,6.0,3.0,0.0,3.0,23.0,89.28,0.0,2.0,15.588445748020817,1.6093579031825642,330.07866130799994,2.0,21.0,11.857467648726669,6.4208216229260096,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,6.0,8.0,0.34782608695652173
*CC(*)c1ccc(COCCCCCc2cccccc2)c(OCCOCCOCCOCCCOC)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(nc1SCCC(=O)N2CCC2)SCCc3cccc(n3C)c4ccccc4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC([C@H](C1)S(=O)(=S)C)N1c2cccnc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc2c(o1)/C(=C/3\C(=O)NC(=C4NC(=O)NCc5c5c5c4cccc5ncc6C4=O)N)C2=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1([C@@H](C(=C(N1)C)NC(=S)N)C#N)C(=O)C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C(\*)COc1ccc(-c2ccc(CCCC(C)(C)CCCCCCCCC)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1OCC(=O)c2ccccc2Cl,0.0,3.0,5.0,2.0,0.0,2.0,19.0,35.53,0.0,0.0,9.473725907600098,2.068455512320823,276.05532195600006,3.0,16.0,11.988195389266817,0.0,1.0526315789473684,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,6.0,4.0,0.21052631578947367
COc1ccccc1n2c3c(=O)oc(nn3cn2)C=C[C@H](CC3)C(=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C(\*)c1ccc(OCCOC(=O)c2cc(OCCC)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NC(C(C)COC(COCOC(O)COC(=O)C(=O)c1ccc(-c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1c2nnn2/N=C/c3ccco3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(cc1)C(=S)Nc2ccccc2N3CCCN(CC3)C(=O)c4ccccc4,1.0,3.0,4.0,4.0,1.0,3.0,30.0,35.58,0.0,1.0,10.216698334856808,1.4711582121527582,415.17183342,5.0,25.0,12.842936177309515,6.4208216229260096,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,7.0,5.0,0.16666666666666666
*CCCOC(=O)CCCCCCCCCCCCCCCCSC(=O)SCCCCCCCCCCOC(=O)CO*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC1CCC(CO*)CCSC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(cc1)C(=O)NC[C@H]1SC(=O)NC(=O)C3=C(OC3)c4cccc4OC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*c1ccccc1C(*)CCc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCOC(=O)COCc1ccc(NCCCNC(=O)c2ccc(C(=O)S*)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c2c(cc3c(cc2nc1C(=O)Nc4ccccc4)N2C(=O)Cc5ccco4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCCCCCOc1ccc(C(=O)Oc2cc(O*)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCCCOC(=O)c1ccc(C(C)(C)c2ccc(C(=O)N*)cc2)c(F)c1OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(cc1C)S(=O)(=O)[C@@H]2CCCS2,0.0,3.0,2.0,2.0,1.0,1.0,16.0,34.14,0.0,1.0,0.0,2.3862996116945294,256.059171752,8.0,8.0,12.277133408919124,36.166571134554,1.25,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,6.0,4.0,0.25
Cc1cc2cc(c(=O)n(c2n1)c3ccc(cc3)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C/C(C)C(C)(C)COC(*)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(cc1C(=O)N/N=C/c2c3ccccc3c2)I,1.0,3.0,4.0,3.0,1.0,2.0,22.0,50.69,0.3333333333333333,0.0,10.162654350910433,1.6894996641725912,404.002175656,2.0,20.0,12.18237355127236,0.0,1.2727272727272727,1.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,1.0,6.0,5.0,0.22727272727272727
Cc1cc(=O)oc2c1c(cnc2)C(=N)Nc3ccccc3,2.0,4.0,2.0,3.0,0.0,3.0,21.0,78.98,0.3333333333333333,2.0,10.94237492308432,2.0820122295284103,279.100776656,1.0,20.0,11.412694362499106,6.923737199690624,1.2380952380952381,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,6.0,5.0,0.23809523809523808
c1cc(c(cc1)Cl)C(=O)Nc2nccn2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCn1c2c(c1=O)c3cn(n3c(n2)N=C(O)c4cc5c(s4)CCC5)N)C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NCCOC(=O)NCCCCCCNC(=O)NCNC(*)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1cccc(/C=C/c2ccc(OCC(=O)CCCCCCCCC(*)=O)cc2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)[C@@H]1C[C@H](O1)c2c3c(s2)CC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(c(c1NC(=O)c2ccccc2)C(=O)Nc3nc5ccccc4n3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc(c(cc1Cl)C2CCN(CC2)C(F)F)[S-],0.0,2.0,2.0,2.0,1.0,1.0,17.0,3.24,0.0,1.0,0.0,2.074239351490274,276.04307811591,10.0,7.0,12.477628758293442,30.204412295376944,1.2941176470588236,3.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,5.0,0.29411764705882354
*COC(=O)c1ccc(OCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCCCCCCCCCCCCCOc2ccc(C(=O)O*)cc3)cc2OCCCCCCCCCCCCCCCCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*O[Se]C(=S)OCCCCCCCOc1ccc(/C(=N/c2ccc(C(*)=O)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCSCCCCCCC(OC)=C(*)CCCN(C)CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)(C)C(=O)OCC[N+](C)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(C#N)C(=O)CCCCC(=O)O*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*c1c(C)cc(O1)cc(O*)c(OCCCCCCC)c1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(cc1)C(=O)C[C@H](C)CC(=O)Nc2ccccc2,1.0,2.0,6.0,2.0,0.0,2.0,22.0,46.17,0.0,0.0,5.316788604006331,1.8404755918126097,295.15722891200005,5.0,17.0,12.174489988526783,26.689117645233267,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,6.0,3.0,0.13636363636363635
c1ccc(cc1)[C@@H](C(=O)Nc2ccccc2)[C@@H]3CC[NH+](C3)C(=O)c4ccco4,2.0,3.0,5.0,4.0,1.0,3.0,28.0,63.75,0.0,2.0,10.216698334856808,1.5429280369269036,375.17031901609,6.0,22.0,13.181474552784076,12.338727669087403,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,6.0,5.0,0.17857142857142858
*CC(CCO*)CC(C)CCCCCCCCOC(=O)Nc1ccccc1OC(=O)OCc1ccc1OCCOCCOCCOCCOCCCOCOCCOCCOc1ccc(/N=N/C(\C)c2ccc(C#N)ccc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(OCCOCCOCCOCCOCCOCCOCCOCCCOCCOCCO*)cc3)cc2S(=O)(=O)c2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H]1CCCC[C@H]1C(=O)NC(=O)Cc2noc(n2)CC(=O)Nc3ccco3,2.0,7.0,6.0,3.0,1.0,2.0,27.0,127.33,0.0,2.0,10.633577208012662,1.4701481365436964,374.15901980399997,9.0,18.0,12.253202982079003,45.448666937246685,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,6.0,9.0,0.3333333333333333
*Oc1ccc(C(C)(C)c2ccc(OC(C)O[Si](C)(C)c3ccc(-c4cc(O*)cc4)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C/c1ccc(-c2ccc(*)o2)ccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(o1)n2c(nnc2SCc3ccccc3)NC(=O)c4ccc(cc4)C(F)(F)O,2.0,6.0,7.0,4.0,0.0,4.0,32.0,93.18,0.0,2.0,5.316788604006331,1.5879591441704386,456.10676787599994,7.0,25.0,12.995436194611434,23.941616797939602,1.09375,2.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,6.0,10.0,0.3125
*OC(CCCNC(=O)c1ccc(OC(=O)CCCCCCCC(*)=O)cc1)(C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccc(NC(=O)c2ccc(-c3cccc(C(=O)c4cccc(C(*)=O)cc4)cc3)cc2)cc1-c1cccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(CCCCCCCCCCCCCNC(=O)S*)[Si](C)(C)C(C)SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(cc1NC(=O)c2ccc(c(c2)C)Cl)C(=O)Nc3ccccc3,2.0,2.0,4.0,3.0,0.0,3.0,27.0,58.2,0.0,0.0,10.633577208012662,1.7924849481162706,378.113505528,3.0,24.0,12.54725313045073,13.847474399381248,0.7407407407407407,1.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,6.0,5.0,0.18518518518518517
*/C=C/c1cc(CCCCCC)c(*)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(CC(=O)Nc1ccc(O*)cc1)COc1ccc(-c2ccc(OCCCCCCCCCC(F)S(=O)(=O)c3ccc(OCC)cc3)cc2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1c(C)cc(C)c([Si](C)(C)[Si](C)(C)c2ccc(Oc3cc(S(*)(=O)=O)c5ccccc4)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(cc1)[C@@H]2C=C(NC[C@@H]2c3ccc(cc3)F)C#N,1.0,2.0,2.0,3.0,1.0,2.0,22.0,35.82,0.0,1.0,5.316788604006331,2.007410110544445,292.137576764,5.0,15.0,13.164413140154032,18.75954929201341,1.0454545454545454,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,6.0,3.0,0.13636363636363635
