PSMILES,min_logd_pH_7.0,max_logd_pH_7.0,min_logd_pH_7.0_H,max_logd_pH_7.0_H,min_logd_pH_7.0_C,max_logd_pH_7.0_C,min_logd_pH_7.0_O,max_logd_pH_7.0_O
*CCOCCOc1ccc(C=C(C#Cc2ccc(*)s2)cc1,,,,,,,,
*Oc1cccc(/C=N/c2ccc(OCCCCCCCOc3ccc(-c4ccc(/C(C=N/c5ccc(OCC(=S)c6cc(*)c(C(F)(F)C(F)(F)F)cc5)cc4)cc3)cc2)c1,,,,,,,,
Cc1cc(c(cc1Br)Br)C(=O)Nc2cc(cc3c2cccc3)c4ccccc4Cl,8.245920000000003,8.245920000000003,,,,,,
Cc1c(cc(c(c1)CBr)CC(=O)N1CC(CC2)C(=O)c3ccc(cc3)I)C,,,,,,,,
*C#C/C(CC)([2H])COc1ccc(SC((=O)O*)c2)cc1,,,,,,,,
Cc1cc2c(n1c3cc(s2)CNC(=O)c4cc(cs4)CCCC4)C(=O)[O-],,,,,,,,
*CC(*)(C)C(=O)OC(C(F)(F)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,7.085000000000004,7.085000000000004,7.865200000000006,7.865200000000006,5.1723000000000035,5.1723000000000035
*N=P(*)(Oc1ccccc1)C(=O)OCCCCCOc1cc(-c2ccc(OCCOC(CCC)C)cc2)cc1,,,,,,,,
COc1ccc(cc1)OC(=O)[C@H](C)Oc2ccccc2F,3.207200000000001,3.207200000000001,,,,,,
*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,,,5.711300000000005,5.711300000000005,7.524500000000009,7.524500000000009,5.950000000000006,5.950000000000006
c1ccc2c(c1)cc3cc2c(cn3)C(=O)Nc4ccc(cc4)C(F)(F)F,,,,,,,,
*CCNC(=O)CCCCCCC(=O)OCCCCO*,,,1.7788,1.7788,2.8230000000000013,2.8230000000000013,1.2485,1.2485
*CC(*)CC(=O)NCC(C)C[Si](C)(C)C,,,2.8770000000000016,2.8770000000000016,3.5131000000000023,3.5131000000000023,0.8201999999999989,0.8201999999999989
*CC(OC)C(COCOC(=O)c1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1)CCC,,,3.8026000000000026,3.8026000000000026,5.615800000000006,5.615800000000006,4.041300000000002,4.041300000000002
*CCC(C)(CCCC)OC(CS(*)(C)C)CCCCCCCOC(=O)OCCCCCOc1ccc(OC(C)(OC)C/c2cc(-n3cc(O*)cc3)cc2)cc1,,,,,,,,
*NC(F)(F)C(F)(F)C(F)(F)CN(*)C(=O)OCCCCCCCCOc1ccc(C(=O)OCCOc2cccc2)cc1,,,,,,,,
CC(=O)OC(=O)c1cccc(c1S(=O)(=O)Nc2ccc(cc2Br)OC)C,3.270220000000002,3.863520000000003,,,,,,
*CCCCCNC(=O)CCCC(*)=O,,,1.662,1.662,2.4422000000000006,2.4422000000000006,-0.8145999999999998,-0.8145999999999998
*OC(CCCOCc1ccc(-c2ccc(OC(=O)CCCCCCCC(*)=O)cc2)cc1O,,,,,,,,
C[C@H]1C[C@H](C[C@H](O1)C)[NH3+],0.1842999999999997,0.9010999999999999,,,,,,
*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)CCCSCCNC(*)=O,,,4.220800000000002,4.220800000000002,5.001000000000005,5.001000000000005,1.3539000000000032,2.380100000000001
Cc1c(cn(n1C)S[C@H](c2ccccc2)C)C(=O)NSc3nnccc3SC,,,,,,,,
Cc1ccc2c(c1)c3c4nc4c(n3)n(n2)cnn4c(ns4)N)F,,,,,,,,
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCNC(=O)O*,,,5.611400000000005,6.637600000000007,8.450800000000008,8.450800000000008,5.850100000000005,6.876300000000008
Cc1ccccc1N2C(=O)C[C@@H](C2=O)c3cccc(c3)C(=O)N)F,,,,,,,,
c1cc(sc1)C(=O)Nc2ccccc2F,3.139500000000001,3.139500000000001,,,,,,
c1cc(c(c1)/C=C/2\C(=O)NC(=S)N(C2)SC[C@H]3CC(=O)[O-])Br,,,,,,,,
c1ccc(c(c1)S(=O)(=O)NC(C)(=O)n2cnnc3cs2)N,,,,,,,,
COc1cccc(c1)c2nnc(s2)CC(=O)NNc3ccco3,3.276600000000001,3.276600000000001,,,,,,
*CC(*)c1ccc(COCCCCCc2cccccc2)c(OCCOCCOCCOCCCOC)c1,,,,,,,,
Cn1nc(nc1SCCC(=O)N2CCC2)SCCc3cccc(n3C)c4ccccc4C,,,,,,,,
CC1=CC([C@H](C1)S(=O)(=S)C)N1c2cccnc2,,,,,,,,
CCOc1ccc2c(o1)/C(=C/3\C(=O)NC(=C4NC(=O)NCc5c5c5c4cccc5ncc6C4=O)N)C2=O,,,,,,,,
CC1([C@@H](C(=C(N1)C)NC(=S)N)C#N)C(=O)C)C,,,,,,,,
*/C=C(\*)COc1ccc(-c2ccc(CCCC(C)(C)CCCCCCCCC)cc2)cc1,,,9.407999999999998,9.407999999999998,10.188199999999993,10.188199999999993,9.179400000000005,9.179400000000005
COc1ccccc1OCC(=O)c2ccccc2Cl,3.610300000000003,3.610300000000003,,,,,,
COc1ccccc1n2c3c(=O)oc(nn3cn2)C=C[C@H](CC3)C(=O)[O-],,,,,,,,
*/C=C(\*)c1ccc(OCCOC(=O)c2cc(OCCC)cc2)cc1,,,,,,,,
*NC(C(C)COC(COCOC(O)COC(=O)C(=O)c1ccc(-c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1)C,,,,,,,,
Cc1ccccc1c2nnn2/N=C/c3ccco3,,,,,,,,
c1ccc(cc1)C(=S)Nc2ccccc2N3CCCN(CC3)C(=O)c4ccccc4,3.409600000000002,4.826700000000004,,,,,,
*CCCOC(=O)CCCCCCCCCCCCCCCCSC(=O)SCCCCCCCCCCOC(=O)CO*,,,10.033799999999996,10.033799999999996,11.07799999999999,11.07799999999999,9.503500000000003,9.503500000000003
*CC1CCC(CO*)CCSC1,,,2.1481000000000003,2.1481000000000003,3.192300000000002,3.192300000000002,1.6178,1.6178
c1ccc(cc1)C(=O)NC[C@H]1SC(=O)NC(=O)C3=C(OC3)c4cccc4OC3,,,,,,,,
*c1ccccc1C(*)CCc1ccccc1,,,3.861900000000003,3.861900000000003,4.731320000000004,4.731320000000004,2.4264,3.0584000000000016
*CCCCCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1C,,,4.826320000000004,4.826320000000004,6.639520000000007,6.639520000000007,5.065020000000006,5.065020000000006
*CCCOC(=O)COCc1ccc(NCCCNC(=O)c2ccc(C(=O)S*)cc2)cc1,,,3.075500000000001,3.075500000000001,4.2817000000000025,4.2817000000000025,2.7072000000000016,2.7072000000000016
Cc1c2c(cc3c(cc2nc1C(=O)Nc4ccccc4)N2C(=O)Cc5ccco4,,,,,,,,
*CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCCCCCOc1ccc(C(=O)Oc2cc(O*)cc2)cc1,,,,,,,,
*CCCCCCCCCCCCCCCOC(=O)c1ccc(C(C)(C)c2ccc(C(=O)N*)cc2)c(F)c1OC,,,8.507100000000005,8.507100000000005,9.157900000000005,9.157900000000005,7.499600000000009,7.499600000000009
Cc1ccc(cc1C)S(=O)(=O)[C@@H]2CCCS2,2.9302400000000013,2.9302400000000013,,,,,,
Cc1cc2cc(c(=O)n(c2n1)c3ccc(cc3)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,
*/C=C/C(C)C(C)(C)COC(*)(C)C,,,3.2597000000000023,3.2597000000000023,4.039900000000004,4.039900000000004,2.465400000000001,2.465400000000001
COc1ccc(cc1C(=O)N/N=C/c2c3ccccc3c2)I,4.3537000000000035,4.3537000000000035,,,,,,
Cc1cc(=O)oc2c1c(cnc2)C(=N)Nc3ccccc3,1.114219999999999,1.114219999999999,,,,,,
c1cc(c(cc1)Cl)C(=O)Nc2nccn2,,,,,,,,
C=CCn1c2c(c1=O)c3cn(n3c(n2)N=C(O)c4cc5c(s4)CCC5)N)C2,,,,,,,,
*NCCOC(=O)NCCCCCCNC(=O)NCNC(*)CC1,,,,,,,,
*Oc1cccc(/C=C/c2ccc(OCC(=O)CCCCCCCCC(*)=O)cc2)c1,,,5.198200000000005,5.830200000000007,6.523300000000006,6.523300000000006,4.527400000000004,4.527400000000004
COC(=O)[C@@H]1C[C@H](O1)c2c3c(s2)CC2,,,,,,,,
Cc1ccc(c(c1NC(=O)c2ccccc2)C(=O)Nc3nc5ccccc4n3,,,,,,,,
c1cc(c(cc1Cl)C2CCN(CC2)C(F)F)[S-],2.2307000000000006,3.647800000000002,,,,,,
*COC(=O)c1ccc(OCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCCCCCCCCCCCCCOc2ccc(C(=O)O*)cc3)cc2OCCCCCCCCCCCCCCCCCCCCCC,,,,,,,,
*O[Se]C(=S)OCCCCCCCOc1ccc(/C(=N/c2ccc(C(*)=O)cc2)cc1,,,,,,,,
*CCCCCCCCCSCCCCCCC(OC)=C(*)CCCN(C)CCC,,,6.655900000000007,8.07300000000001,7.436100000000009,8.853200000000005,5.5140000000000065,6.931100000000009
*CC(*)(C)C(=O)OCC[N+](C)(C)C,,,0.8917999999999999,0.8917999999999999,1.672,1.672,-1.0208999999999993,-1.0208999999999993
*CC(C#N)C(=O)CCCCC(=O)O*,,,0.025479999999999947,0.025479999999999947,1.83868,1.83868,0.2641799999999998,0.2641799999999998
*c1c(C)cc(O1)cc(O*)c(OCCCCCCC)c1C,,,,,,,,
Cc1ccc(cc1)C(=O)C[C@H](C)CC(=O)Nc2ccccc2,4.232720000000003,4.232720000000003,,,,,,
c1ccc(cc1)[C@@H](C(=O)Nc2ccccc2)[C@@H]3CC[NH+](C3)C(=O)c4ccco4,2.7471000000000005,4.164200000000004,,,,,,
*CC(CCO*)CC(C)CCCCCCCCOC(=O)Nc1ccccc1OC(=O)OCc1ccc1OCCOCCOCCOCCOCCCOCOCCOCCOc1ccc(/N=N/C(\C)c2ccc(C#N)ccc2)cc1,,,,,,,,
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(OCCOCCOCCOCCOCCOCCOCCOCCCOCCOCCO*)cc3)cc2S(=O)(=O)c2)cc1,,,,,,,,
C[C@H]1CCCC[C@H]1C(=O)NC(=O)Cc2noc(n2)CC(=O)Nc3ccco3,1.8553999999999997,1.8553999999999997,,,,,,
*Oc1ccc(C(C)(C)c2ccc(OC(C)O[Si](C)(C)c3ccc(-c4cc(O*)cc4)cc3)cc2)cc1,,,,,,,,
*/C=C/c1ccc(-c2ccc(*)o2)ccc1,,,,,,,,
Cc1ccc(o1)n2c(nnc2SCc3ccccc3)NC(=O)c4ccc(cc4)C(F)(F)O,4.754920000000003,4.754920000000003,,,,,,
*OC(CCCNC(=O)c1ccc(OC(=O)CCCCCCCC(*)=O)cc1)(C(C)C,,,,,,,,
*Oc1ccc(NC(=O)c2ccc(-c3cccc(C(=O)c4cccc(C(*)=O)cc4)cc3)cc2)cc1-c1cccc1,,,,,,,,
*CC(CCCCCCCCCCCCCNC(=O)S*)[Si](C)(C)C(C)SC,,,6.287100000000006,7.313300000000008,8.519500000000006,8.519500000000006,6.945000000000007,6.945000000000007
Cc1ccc(cc1NC(=O)c2ccc(c(c2)C)Cl)C(=O)Nc3ccccc3,5.461440000000003,5.461440000000003,,,,,,
*/C=C/c1cc(CCCCCC)c(*)s1,,,4.513900000000004,4.513900000000004,5.212420000000004,5.212420000000004,3.473200000000002,4.1052000000000035
*CC(CC(=O)Nc1ccc(O*)cc1)COc1ccc(-c2ccc(OCCCCCCCCCC(F)S(=O)(=O)c3ccc(OCC)cc3)cc2)c1,,,,,,,,
*Oc1c(C)cc(C)c([Si](C)(C)[Si](C)(C)c2ccc(Oc3cc(S(*)(=O)=O)c5ccccc4)cc3)cc2)cc1,,,,,,,,
Cc1ccc(cc1)[C@@H]2C=C(NC[C@@H]2c3ccc(cc3)F)C#N,2.9860000000000015,4.012200000000003,,,,,,
*c1ccc([Si](C)(C)CCCOC(*)=O)cc1,,,2.1651,2.1651,2.863620000000001,2.863620000000001,0.4255999999999993,1.0575999999999997
*c1ccc(OCCCCCCCCCCCCCCCCCCCCCCCCCOc2ccc(O*)cc2)cc1OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,,22.901900000000012,23.53390000000002,24.145320000000027,24.145320000000027,22.753700000000006,23.385700000000014
COc1cccc(c1)SCC(=O)Nc2cccc(c2)[N+](=O)[O-],3.334200000000002,3.334200000000002,,,,,,
*c1ccc(-c2cc([Si](C)(CCCCCCCCCOC)c(*)cc2SCCCCCCCCC)cc1,,,,,,,,
c1ccc(cc1)S(=O)(=O)N2CCC(C2)c3cccc(c3Cl)Cl,2.754500000000001,4.171600000000003,,,,,,
*CC(*)(C)C(=O)NCCNC(=O)O*,,,-2.334699999999997,-1.3084999999999987,0.8947999999999999,0.8947999999999999,-2.981099999999997,-1.9548999999999994
*Oc1ccc(C(*)CC(=O)OCCCCCC([2H])(F)F)cc1,,,3.0615000000000014,3.693500000000002,4.557500000000004,4.557500000000004,3.3306000000000013,3.3306000000000013
*O[Si](*)(C)CCCCCNC(=O)c1ccc(/N=N/c2ccc(C(=O)OCC)cc2)cc1,,,4.524700000000005,4.524700000000005,6.030300000000006,6.030300000000006,4.732700000000004,4.732700000000004
*CC(*)(CCCCCC)C(C)COCC(O=O)NCCSCCCCCNC(=O)O*,,,,,,,,
*Oc1ccc(-c2ccc(-c3ccc(OC(=O)Nc4ccc(/C=C/C(*)=O)cc4)cc3)cc2)cc1OC,,,5.925800000000005,6.557800000000006,7.250900000000006,7.250900000000006,5.2550000000000034,5.2550000000000034
CC1([C@@H]([C@@H](n2c(n1CC)c3ccccc3Oc5cccc5oc4=O)C)OC)C,,,,,,,,
*/C=C/c1ccc(/C=C/c2ccc(*)cc2)cc1OCC,,,4.898700000000004,4.898700000000004,5.597220000000005,5.597220000000005,3.8580000000000014,4.490000000000003
*CCCC/C=C/C(COC(=O)CCCC(*)C#N,,,,,,,,
Cc1ccc(cc1[C@H](C)c2ccccc2[N+](=O)[O-])S(=O)(=O)c3ccco3,4.480820000000004,4.480820000000004,,,,,,
*CC(*)C(=O)OCCCCCCOc1ccc(CC(=O)Oc2ccc(OCCCCCC)cc2)cc1,,,6.6862000000000075,6.6862000000000075,7.322300000000009,7.322300000000009,4.629400000000006,4.629400000000006
CC1=C([C@@H]2[C@](C1CC)C(=O)N2C)c3cccc(c3)[N+](=O)[O-],1.4060899999999996,2.823190000000001,,,,,,
CC(C)CNC(=O)Cn1c2cc[nH]c2c1c3ccc(cc3)F,,,,,,,,
Cc1ccc(cc1)[N+](=O)[O-],1.90322,1.90322,,,,,,
COC(=O)C1=C(NC(=S)S1)C2=CN(CC2)c3ccc(cc3)F,2.3216900000000003,3.9825900000000027,,,,,,
Cc1cccc(c1Nc2ccccc2)[C@H]3CC(=O)N(C3=C([C@H]4C(=O)CCC4)C)OC,3.8420200000000033,5.259120000000005,,,,,,
*1ccc(OCCCCc2ccc(*)cc2)cc1,,,,,4.396720000000004,4.396720000000004,,
C[C@H]1CCCC(=O)Nc2c1cc(cc2)(C)C,,,,,,,,
*O/C=C/c1c(OCCCCOc2ccc(OCOC(C)c3ccc(/C=C/c4cc(O*)cc4)c(OC)c3)cc2)cc1OCC(C)(C)C,,,,,,,,
Cc1cc(ccc1C(=O)N2CCN(CC2)N3C(=O)/C=C/4\CC(=O)NC(=O)CC(=C)OC)[O-],,,,,,,,
*O=P(*)(OCCCCCCCCCCCCC)c1ccc(C(=O)Oc2ccc(OCC(=O)c3ccc(C(=O)OC)cc3)cc2)cc1,,,,,,,,
*/C=C(/*)C([2H])=NC,,,0.873,0.873,1.6532,1.6532,0.6444,0.6444
Cc1ccc(cc1)NC(=O)c2c[nH]c(c2=O)/C=C/3\C(=C(NC3=O)c4ccc(cc4)C(=O)C)C,,,,,,,,
c1cc2c([nH]c1=O)CC[C@H]3CCO3,,,,,,,,
CNC(=O)c1ccc(cc1)[N+](=O)[O-],0.9543999999999999,0.9543999999999999,,,,,,
*CCc1cc(OC(=O)c2ccc(O*)cc2)cc1,,,,,,,,
CC(C)c1nc(n1)c2ccc(cc2)OC,-1.3288999999999982,-1.3288999999999982,,,,,,
c1ccc(cc1)OCC(=O)NNC(=O)c2ccccc2,3.094800000000001,3.094800000000001,,,,,,
*/C=C/c1ccc([Si](*)(C)CCCCCCOc2ccc(-c3cc(OCCCCCCCCCCCCCC)cc3)c(C)c2CCCCCCCCCC)cc1,,,,,,,,
*CCCCCCCCOc1ccc(-c2ccc(O*)cc2)cc1,,,5.1665000000000045,5.798500000000006,6.491600000000007,6.491600000000007,4.917100000000004,4.917100000000004
*CCCCNC(=O)OCCCCCCOC(=O)Cc1ccc(C(=O)NCCNC(=O)c2ccc(-c3cc(Sc4cc(O*)cc4)cc3)cc2)cc1,,,,,,,,
*/C=C/C(O[Si](*)(CCC)CC,,,,,,,,
c1ccc2c(c1)[nH]nc(n2)c3ccccc3,,,,,,,,
COc1cccc(c1)NC(=O)c2c[nH+](cc2=O)oc3cccc3,,,,,,,,
*CCCOc1ccc(OC(=O)c2cc(O*)cc2)cc1CCC,,,,,,,,
*OC(Oc1ccc(C(F)(F)F)c2ccc(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)C(F)(F)F)cc2)c1,,,,,,,,
*OC(*)CNC(CCC(C)=O)c1ccc(-c2ccc(C(C)C)nc2)cc1CCCCCCCCCC,,,6.521200000000008,7.54740000000001,7.5638000000000085,8.590000000000007,6.336900000000007,7.36310000000001
*CC(*)C(=O)OC(=O)OCCCCCC(=S)Oc1ccc(C(=O)Oc2ccc(OCC)cc2)cc1,,,5.660900000000005,5.660900000000005,6.297000000000006,6.297000000000006,3.6041000000000016,3.6041000000000016
*C[C@H](*)C(=O)Nc1ccc(C#N)cc1,,,1.90678,1.90678,2.5428800000000003,2.5428800000000003,-0.1500200000000001,-0.1500200000000001
*CCC(C)(CO*)CF,,,1.3645,1.3645,2.4087000000000005,2.4087000000000005,0.8342,0.8342
*CCCCCCCCCCCCCCCCCCCCCOC(=O)c1cccc(C(=O)n3c(*)c(CC)cc3OC)cc2)cc1,,,,,,,,
CCOc1ccc(cc1C)/C=C\2\C(=O)N(C(=S)N2)C(=O)N3CCCC3,-1.1932799999999968,2.6671200000000006,,,,,,
Cc1ccccc1CC(=O)Nc2cc3c(snc3s2)C(F)(F)F)C(F)(F)F,,,,,,,,
*CCCCCCCCCNC(=O)CCCCCCCCCCCOC(=O)CCC(=O)O*,,,4.827500000000004,4.827500000000004,6.640700000000007,6.640700000000007,5.066200000000005,5.066200000000005
*CC(*)C(=O)OCCCOCCC(F)F,,,2.0015,2.0015,2.637600000000001,2.637600000000001,-0.055299999999999794,-0.055299999999999794
Cc1c(sn(n1)SCC(=O)NCNC(=O)C2CCN(CC2)C(=O)c3ccco3)C,,,,,,,,
Cc1ccc(n1c2ccccc2)OCc3ccccc3CNC(=O)C,4.000820000000004,4.000820000000004,,,,,,
*OCOCCOCCOCCOCOCCOCOCCOCCO*,,,-1.0236999999999956,-1.0236999999999956,0.2845000000000042,0.2845000000000042,-0.02909999999999663,-0.02909999999999663
CC[C@H](C)c1ccc(cc1)C[NH+]2CCN(CC2)C(=O)c3cccc3Cl,,,,,,,,
c1ccc(cc1)[C@@H]2C[C@@H](CCC2=O)Nc3nc(s3))CO,,,,,,,,
COc1ccc(cc1)/C=C/2\C(=O)NS(=O)(=O)n3c2cccc3,,,,,,,,
c1cccc(c1)OCSc2nnc(o2)SCC(=O)NO,1.7957,1.7957,,,,,,
C[C@@]12[C@](CCCCC[NH2+]2)O1,0.4021899999999994,1.42839,,,,,,
*C(CCC)(C)CCOC(=O)COCCSC(=O)O*,,,1.4489999999999998,1.4489999999999998,3.2622000000000018,3.2622000000000018,1.8302,1.8302
CC(=O)c1ccc(c1)NC(=S)Nc2ccc(cc2)C(=O)[O-],,,,,,,,
CCOc1cc(ccc1Oc2ccccc2)[C@@H]3C3=O,,,,,,,,
*CCCCCOC(=O)NCCCCNC(=O)O*,,,-0.4102999999999985,0.6159000000000003,2.4291,2.4291,-0.17159999999999925,0.8546
*Nc1ccc(/C=C(\CCCOC(*)=O)c2ccccc2[N+](=O)[O-])cc1,,,3.6708000000000025,3.6708000000000025,4.520400000000004,4.520400000000004,3.076600000000001,3.076600000000001
C[C@@H]1[C@H](C(=O)N1C)SC(=O)N(C/N=N/c2ccc(o2)OC)C,-0.49069999999999836,2.3434999999999997,,,,,,
*/C=C\c1ccc(C(=O)O*)c(Cl)c(Br)c1,,,,,,,,
*/C=C/c1cc(OCCC[Si](CC)(*)CCCCCC)cc(OCC(C)C)c1,,,6.9606000000000074,6.9606000000000074,8.202200000000008,8.202200000000008,6.5570000000000075,6.5570000000000075
*CC(O)C(COC(=O)NCCSCCCCCSCNC(=O)O*)c1cccc(C(=C)SCCC)c1,,,3.492000000000001,4.518200000000004,6.331400000000007,6.331400000000007,3.7307000000000006,4.756900000000004
Cc1ccc(n1C)C(=O)N2CCN(CC1)C(=O)c3ccccc3,,,,,,,,
*CC(*)(C)C(=O)OCCCCCC(=O)OCCCCC,,,3.4794000000000027,3.4794000000000027,4.259600000000004,4.259600000000004,1.5667,1.5667
COc1ccc(cc1/C=N/NC(=O)c2ccc(cc2)F)OCl,3.914900000000002,3.914900000000002,,,,,,
*Oc1ccc(C(=O)N(CCCCCCCCCCCC(=O)OCCCCNC(*)=O)cc1,,,,,,,,
*CCCCCCCCCOC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccc(NC(=O)O*)cc2)cc1,,,4.6437000000000035,4.6437000000000035,6.456900000000005,6.456900000000005,4.882400000000005,4.882400000000005
CC(C)(C)CCCNC(=O)N(n1cnnc1Sc2ccc(c2C)OC)S(=O)(=O)NC,,,,,,,,
*Oc1ccc(C(=O)c2ccc(OCCCCCOCCOCCOCCCCOCCCOCCOC(*)=O)cc2)ccc1,,,,,,,,
*Sc1ccc(OCCCCCC)cc(NC(=O)Oc2ccc(OC(*)=O)cc2)cc1C,,,5.448500000000006,5.448500000000006,6.271800000000006,6.271800000000006,4.911800000000004,4.911800000000004
*Oc1ccc(Oc2ccc(OC(=O)CCCCCCC(=O)Oc3ccc(C(C)(C)c4cc(Oc5cc(C(F)(F)C(F)(F)C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc4ccc(*)c3)c1,,,,,,,,
*C1CC(C)(C(=C(*)=O)OCC,,,,,,,,
*CCOCCOCCOC(=O)c1ccc(O*)cc1,,,0.9700999999999997,1.6020999999999999,2.2952000000000004,2.2952000000000004,0.7206999999999999,0.7206999999999999
Cc1cc(=O)n2c(n1c(nc1[O-])C2)OC(=O)c3ccnc3,,,,,,,,
CC(=O)Nc1c(ccc1Cl)C(=O)Nc2c(cccc2Br)C(F)(F)F,,,,,,,,
Cc1cc(ccc1Cl)NC(=O)c2cccs2,3.962220000000002,3.962220000000002,,,,,,
*CCOCCO[Si](C)(C)NCC(O*)O[Si](C)(C)C,,,0.47460000000000124,1.5007999999999992,1.5188000000000001,2.545,-0.055699999999998084,0.9705000000000001
*CC(C(*)=O)Nc1ccc(F)c(F)c1,,,0.7470999999999998,1.9641000000000002,1.5272999999999999,2.744300000000001,-1.7294999999999991,-0.5125000000000004
c1ccc2c(c1)c(ccc(o2)OCc3cccs3)C(=O)[O-],2.3320000000000007,2.3320000000000007,,,,,,
CC[C@H]([C@H]1CCN1C(=O)COC1=O)Cc2cc(ccc2OC)Cl)O,,,,,,,,
*/C=C/c1c(OCCCCCCCCCCCCCCC#CC)c(O*)c1CCCCCCCCCCC,,,11.28429999999999,11.28429999999999,11.762799999999986,11.762799999999986,11.10159999999999,11.10159999999999
*CCCCCCCCOC(=O)NCCCNC(=O)O*,,,0.36990000000000245,1.3961000000000001,3.2093000000000016,3.2093000000000016,0.6086,1.6347999999999994
*Nc1c(NC(=S)N(c2ccccc2)c2ccc(N(C)c3ccc(S(=O)(=O)c4cccc4C(*)(C)=O)cc3)cc2)cc1I,,,,,,,,
*CCCCCSCCCCOC(=O)CCCCCCCCCCCCCCCCCCCCCOc1cc(/N=N/c2ccc(/C=C/c3cc(N=*)cc3)cc2)cc1,,,,,,,,
*Oc1ccc(-c2ccc(OC(=O)c3ccc(C(=O)c4ccc(OC(=O)c5cc(OC*)cc5)cc4)cc3)cc2)cc1,,,,,,,,
COc1ccccc1c2nc(nn2)SCCC(=O)Nc3ccccc3Cl,,,,,,,,
c1cnn(c1)CNc2nc(ncn2)c3cc(ccc3)[N+](=O)[O-],1.7128999999999996,1.7128999999999996,,,,,,
Cc1cc2cc(c1)C(=O)OCCC(=O)N2CCCC2,,,,,,,,
C[C@H](C(=O)[O-])c1c(c(c(oC1)N)Cc2ccccc2)Cl,0.5917000000000001,1.3085,,,,,,
c1cc(sc1)/C(=C/c2ccc(cc2)Cl)/C(=S)Nc3nnncc(n3)Br,,,,,,,,
COc1ccc(cc1)C(=O)N/N=C/c2cnsn2,2.0947,2.0947,,,,,,
COn1c2cccccc2c1OCc3cccc(cc3)OC,,,,,,,,
COc1ccc(cc1)c2cc(s2)c3c(ncnc3n3N)c4ccc(cc4)OC,,,,,,,,
