PSMILES,num_hbond_donors_sum_fullpolymerfeaturizer,num_hbond_acceptors_sum_fullpolymerfeaturizer,num_rotatable_bonds_sum_fullpolymerfeaturizer,num_rings_sum_fullpolymerfeaturizer,num_non_aromatic_rings_sum_fullpolymerfeaturizer,num_aromatic_rings_sum_fullpolymerfeaturizer,num_atoms_sum_fullpolymerfeaturizer,topological_surface_area_sum_fullpolymerfeaturizer,fraction_bicyclic_rings_sum_fullpolymerfeaturizer,num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,slogp_vsa1_sum_fullpolymerfeaturizer,balaban_j_index_sum_fullpolymerfeaturizer,molecular_weight_sum_fullpolymerfeaturizer,sp3_carbon_count_sum_fullpolymerfeaturizer,sp2_carbon_count_sum_fullpolymerfeaturizer,max_estate_index_sum_fullpolymerfeaturizer,smr_vsa5_sum_fullpolymerfeaturizer,fp_density_morgan1_sum_fullpolymerfeaturizer,total_halogens_sum_fullpolymerfeaturizer,fluorine_count_sum_fullpolymerfeaturizer,chlorine_count_sum_fullpolymerfeaturizer,bromine_count_sum_fullpolymerfeaturizer,iodine_count_sum_fullpolymerfeaturizer,single_bonds_sum_fullpolymerfeaturizer,double_bonds_sum_fullpolymerfeaturizer,triple_bonds_sum_fullpolymerfeaturizer,bridging_rings_count_sum_fullpolymerfeaturizer,max_ring_size_sum_fullpolymerfeaturizer,heteroatom_count_sum_fullpolymerfeaturizer,heteroatom_density_sum_fullpolymerfeaturizer,num_hbond_donors_sidechainfeaturizer_sum,num_hbond_acceptors_sidechainfeaturizer_sum,num_atoms_sum_backbonefeaturizer,sp2_carbon_count_sum_backbonefeaturizer,sp3_carbon_count_sum_backbonefeaturizer
Cc1ccc2c(c1)c3n(n2c(n3)Cc4cc(c(c(c4)OC)C)OC)C=C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C1=CC(C[N+](C)(C)[Si](c2ccc(*)s2)cc1)OCCCCCC,0.0,2.0,7.0,2.0,1.0,1.0,24.0,9.23,0.0,2.0,9.880484118157678,2.075859992919394,333.15771343409,13.0,9.0,6.306657848324515,38.71099007914296,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,8.0,6.0,0.25,1.0,1.0,17.0,9.0,6.0
*/C=C/c1ccc(C(=O)NCCCCCCCCCCNC(=O)c2ccc(C(*)=O)cc2)cc1,2.0,3.0,15.0,2.0,0.0,2.0,34.0,75.27000000000001,0.0,0.0,10.633577208012662,1.4265524671345813,432.2412928839999,10.0,22.0,12.181793789799528,51.36657298340809,0.65625,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,6.0,7.0,0.20588235294117646,0.0,0.0,34.0,22.0,10.0
*c1cc(/C=C/c2ccc(/N=C(/*)CCCCC)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc2ccccc2n1c3ncnc2=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2[C@@H](N([C@H]1CC)C(=O)N)C(=S)NC[C@@H]1c3cccsc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCOCCOc1ccc(C=C(C#Cc2ccc(*)s2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1cccc(/C=N/c2ccc(OCCCCCCCOc3ccc(-c4ccc(/C(C=N/c5ccc(OCC(=S)c6cc(*)c(C(F)(F)C(F)(F)F)cc5)cc4)cc3)cc2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(c(cc1Br)Br)C(=O)Nc2cc(cc3c2cccc3)c4ccccc4Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(cc(c(c1)CBr)CC(=O)N1CC(CC2)C(=O)c3ccc(cc3)I)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C#C/C(CC)([2H])COc1ccc(SC((=O)O*)c2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2c(n1c3cc(s2)CNC(=O)c4cc(cs4)CCCC4)C(=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)(C)C(=O)OC(C(F)(F)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,2.0,10.0,1.0,0.0,1.0,37.0,26.3,0.0,0.0,0.0,3.878176474367488,544.051952892,26.0,9.0,14.991738591269842,67.58082035930188,0.8,15.0,15.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,6.0,19.0,0.5135135135135135,0.0,2.0,5.0,0.0,3.0
*N=P(*)(Oc1ccccc1)C(=O)OCCCCCOc1cc(-c2ccc(OCCOC(CCC)C)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(cc1)OC(=O)[C@H](C)Oc2ccccc2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,0.0,4.0,22.0,0.0,0.0,0.0,29.0,52.60000000000001,0.0,0.0,0.0,3.1637138480752256,382.30830982399993,21.0,6.0,11.67889567929074,128.91934803528486,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,6.0,0.20689655172413793,0.0,0.0,29.0,6.0,21.0
c1ccc2c(c1)cc3cc2c(cn3)C(=O)Nc4ccc(cc4)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCNC(=O)CCCCCCC(=O)OCCCCO*,1.0,4.0,14.0,0.0,0.0,0.0,21.0,64.63000000000001,0.0,0.0,5.316788604006331,3.262383429114491,271.17835828,13.0,6.0,11.435573328759379,58.29031018309871,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,7.0,0.3333333333333333,0.0,0.0,21.0,6.0,13.0
*CC(*)CC(=O)NCC(C)C[Si](C)(C)C,1.0,1.0,7.0,0.0,0.0,0.0,16.0,29.1,0.0,0.0,5.316788604006331,3.7522642563439184,213.154890886,11.0,3.0,11.650420918367347,52.374247483192995,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,5.0,0.3125,1.0,1.0,4.0,0.0,2.0
*CC(OC)C(COCOC(=O)c1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1)CCC,0.0,6.0,13.0,2.0,0.0,2.0,33.0,71.06,0.0,0.0,0.0,1.8299687315382633,424.18858861599995,11.0,20.0,12.295401609379887,32.79308403298157,1.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,6.0,8.0,0.24242424242424243,1.0,1.0,28.0,20.0,6.0
*CCC(C)(CCCC)OC(CS(*)(C)C)CCCCCCCOC(=O)OCCCCCOc1ccc(OC(C)(OC)C/c2cc(-n3cc(O*)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NC(F)(F)C(F)(F)C(F)(F)CN(*)C(=O)OCCCCCCCCOc1ccc(C(=O)OCCOc2cccc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OC(=O)c1cccc(c1S(=O)(=O)Nc2ccc(cc2Br)OC)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCNC(=O)CCCC(*)=O,1.0,2.0,9.0,0.0,0.0,0.0,15.0,46.17,0.0,0.0,5.316788604006331,3.2210710136259313,183.125928784,8.0,5.0,11.267575821995464,45.448666937246685,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,5.0,0.3333333333333333,0.0,0.0,15.0,5.0,8.0
*OC(CCCOCc1ccc(-c2ccc(OC(=O)CCCCCCCC(*)=O)cc2)cc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H]1C[C@H](C[C@H](O1)C)[NH3+],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)CCCSCCNC(*)=O,4.0,5.0,24.0,0.0,0.0,0.0,35.0,99.33000000000001,0.0,0.0,21.267154416025324,3.3356923622270656,506.27606145600004,23.0,10.0,13.742000960530362,83.84838523037361,0.7575757575757576,1.0,1.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,0.0,12.0,0.34285714285714286,0.0,0.0,35.0,10.0,23.0
Cc1c(cn(n1C)S[C@H](c2ccccc2)C)C(=O)NSc3nnccc3SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc2c(c1)c3c4nc4c(n3)n(n2)cnn4c(ns4)N)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCNC(=O)O*,2.0,3.0,26.0,0.0,0.0,0.0,34.0,67.43,0.0,0.0,10.633577208012662,3.1557519508681593,452.39779352399995,25.0,7.0,11.9267055405617,148.1818129040629,0.53125,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,7.0,0.20588235294117646,0.0,0.0,34.0,7.0,25.0
Cc1ccccc1N2C(=O)C[C@@H](C2=O)c3cccc(c3)C(=O)N)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc(sc1)C(=O)Nc2ccccc2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc(c(c1)/C=C/2\C(=O)NC(=S)N(C2)SC[C@H]3CC(=O)[O-])Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(c(c1)S(=O)(=O)NC(C)(=O)n2cnnc3cs2)N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1cccc(c1)c2nnc(s2)CC(=O)NNc3ccco3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(*)c1ccc(COCCCCCc2cccccc2)c(OCCOCCOCCOCCCOC)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(nc1SCCC(=O)N2CCC2)SCCc3cccc(n3C)c4ccccc4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC([C@H](C1)S(=O)(=S)C)N1c2cccnc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc2c(o1)/C(=C/3\C(=O)NC(=C4NC(=O)NCc5c5c5c4cccc5ncc6C4=O)N)C2=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1([C@@H](C(=C(N1)C)NC(=S)N)C#N)C(=O)C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C(\*)COc1ccc(-c2ccc(CCCC(C)(C)CCCCCCCCC)cc2)cc1,0.0,1.0,16.0,2.0,0.0,2.0,33.0,9.23,0.0,0.0,4.736862953800049,1.7099031145876191,418.323565964,16.0,15.0,5.925073623110297,91.400249451258,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,6.0,3.0,0.09090909090909091,0.0,1.0,4.0,2.0,0.0
COc1ccccc1OCC(=O)c2ccccc2Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1n2c3c(=O)oc(nn3cn2)C=C[C@H](CC3)C(=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C(\*)c1ccc(OCCOC(=O)c2cc(OCCC)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NC(C(C)COC(COCOC(O)COC(=O)C(=O)c1ccc(-c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1c2nnn2/N=C/c3ccco3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(cc1)C(=S)Nc2ccccc2N3CCCN(CC3)C(=O)c4ccccc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCOC(=O)CCCCCCCCCCCCCCCCSC(=O)SCCCCCCCCCCOC(=O)CO*,0.0,8.0,33.0,0.0,0.0,0.0,43.0,78.90000000000002,0.0,0.0,0.0,3.2061763560388057,616.3831316399999,33.0,8.0,12.070176521686959,161.02345614991492,0.4878048780487805,0.0,0.0,0.0,0.0,0.0,39.0,3.0,0.0,0.0,0.0,10.0,0.23255813953488372,0.0,0.0,43.0,8.0,33.0
*CC1CCC(CO*)CCSC1,0.0,2.0,3.0,1.0,1.0,0.0,13.0,9.23,0.0,1.0,0.0,2.266387574457269,172.092186132,11.0,0.0,5.502917375283447,26.186202068468653,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,4.0,0.3076923076923077,0.0,0.0,13.0,0.0,11.0
c1ccc(cc1)C(=O)NC[C@H]1SC(=O)NC(=O)C3=C(OC3)c4cccc4OC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*c1ccccc1C(*)CCc1ccccc1,0.0,0.0,4.0,2.0,0.0,2.0,17.0,0.0,0.0,0.0,6.06636706846161,1.9850719573330167,194.109550448,3.0,12.0,2.3799537037037037,19.26246486877803,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,0.11764705882352941,0.0,0.0,9.0,6.0,1.0
*CCCCCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1C,0.0,4.0,15.0,1.0,0.0,1.0,28.0,52.60000000000001,0.0,0.0,0.0,2.072163570277147,360.23005950399994,14.0,12.0,12.194957476296395,84.47651225156737,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,6.0,6.0,0.21428571428571427,0.0,0.0,28.0,12.0,14.0
*CCCOC(=O)COCc1ccc(NCCCNC(=O)c2ccc(C(=O)S*)cc2)cc1,2.0,7.0,14.0,2.0,0.0,2.0,33.0,93.72999999999999,0.0,0.0,10.633577208012662,1.600495717558049,442.156242932,10.0,21.0,12.212535837528193,26.372262410055562,0.967741935483871,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,6.0,10.0,0.30303030303030304,0.0,0.0,33.0,21.0,10.0
Cc1c2c(cc3c(cc2nc1C(=O)Nc4ccccc4)N2C(=O)Cc5ccco4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCCCCCOc1ccc(C(=O)Oc2cc(O*)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCCCOC(=O)c1ccc(C(C)(C)c2ccc(C(=O)N*)cc2)c(F)c1OC,1.0,4.0,20.0,2.0,0.0,2.0,41.0,64.63000000000001,0.0,0.0,10.470530430962235,1.7771088193324083,539.341087172,20.0,19.0,15.672609031048975,109.6568831665068,0.8461538461538461,1.0,1.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,6.0,8.0,0.1951219512195122,1.0,1.0,39.0,18.0,19.0
Cc1ccc(cc1C)S(=O)(=O)[C@@H]2CCCS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2cc(c(=O)n(c2n1)c3ccc(cc3)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C/C(C)C(C)(C)COC(*)(C)C,0.0,1.0,5.0,0.0,0.0,0.0,14.0,9.23,0.0,0.0,0.0,4.197161016889759,168.15141526,10.0,2.0,5.95921485260771,40.72265238620142,1.5,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,0.21428571428571427,0.0,0.0,14.0,2.0,10.0
COc1ccc(cc1C(=O)N/N=C/c2c3ccccc3c2)I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(=O)oc2c1c(cnc2)C(=N)Nc3ccccc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc(c(cc1)Cl)C(=O)Nc2nccn2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCn1c2c(c1=O)c3cn(n3c(n2)N=C(O)c4cc5c(s4)CCC5)N)C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NCCOC(=O)NCCCCCCNC(=O)NCNC(*)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1cccc(/C=C/c2ccc(OCC(=O)CCCCCCCCC(*)=O)cc2)c1,0.0,4.0,15.0,2.0,0.0,2.0,31.0,52.6,0.0,0.0,9.843390348640755,1.62026069903773,392.19875937599994,9.0,20.0,12.032614816929565,51.36657298340809,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,6.0,6.0,0.1935483870967742,0.0,0.0,31.0,20.0,9.0
COC(=O)[C@@H]1C[C@H](O1)c2c3c(s2)CC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(c(c1NC(=O)c2ccccc2)C(=O)Nc3nc5ccccc4n3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc(c(cc1Cl)C2CCN(CC2)C(F)F)[S-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*COC(=O)c1ccc(OCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCCCCCCCCCCCCCOc2ccc(C(=O)O*)cc3)cc2OCCCCCCCCCCCCCCCCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*O[Se]C(=S)OCCCCCCCOc1ccc(/C(=N/c2ccc(C(*)=O)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCSCCCCCCC(OC)=C(*)CCCN(C)CCC,0.0,3.0,23.0,0.0,0.0,0.0,30.0,12.47,0.0,0.0,0.0,3.533342879411465,411.35348618800003,25.0,3.0,5.763429998555088,110.15979874327142,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,5.0,0.16666666666666666,1.0,2.0,20.0,2.0,16.0
*CC(*)(C)C(=O)OCC[N+](C)(C)C,0.0,2.0,5.0,0.0,0.0,0.0,14.0,26.3,0.0,0.0,0.0,3.870360120761992,172.13320523609,9.0,3.0,11.65501133786848,19.76538044554264,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,5.0,0.35714285714285715,0.0,2.0,5.0,0.0,3.0
*CC(C#N)C(=O)CCCCC(=O)O*,0.0,4.0,7.0,0.0,0.0,0.0,15.0,67.16,0.0,0.0,0.0,3.6426697511401445,181.073893212,6.0,5.0,11.433206963340893,32.60702369139466,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,6.0,0.4,0.0,1.0,13.0,5.0,6.0
*c1c(C)cc(O1)cc(O*)c(OCCCCCCC)c1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(cc1)C(=O)C[C@H](C)CC(=O)Nc2ccccc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(cc1)[C@@H](C(=O)Nc2ccccc2)[C@@H]3CC[NH+](C3)C(=O)c4ccco4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(CCO*)CC(C)CCCCCCCCOC(=O)Nc1ccccc1OC(=O)OCc1ccc1OCCOCCOCCOCCOCCCOCOCCOCCOc1ccc(/N=N/C(\C)c2ccc(C#N)ccc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(OCCOCCOCCOCCOCCOCCOCCOCCCOCCOCCO*)cc3)cc2S(=O)(=O)c2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H]1CCCC[C@H]1C(=O)NC(=O)Cc2noc(n2)CC(=O)Nc3ccco3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccc(C(C)(C)c2ccc(OC(C)O[Si](C)(C)c3ccc(-c4cc(O*)cc4)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C/c1ccc(-c2ccc(*)o2)ccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(o1)n2c(nnc2SCc3ccccc3)NC(=O)c4ccc(cc4)C(F)(F)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*OC(CCCNC(=O)c1ccc(OC(=O)CCCCCCCC(*)=O)cc1)(C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccc(NC(=O)c2ccc(-c3cccc(C(=O)c4cccc(C(*)=O)cc4)cc3)cc2)cc1-c1cccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(CCCCCCCCCCCCCNC(=O)S*)[Si](C)(C)C(C)SC,1.0,3.0,18.0,0.0,0.0,0.0,28.0,29.1,0.0,0.0,5.316788604006331,3.48889357603953,417.25553352599997,23.0,3.0,11.163019975611881,114.40574896598005,1.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,7.0,0.25,0.0,1.0,21.0,3.0,16.0
Cc1ccc(cc1NC(=O)c2ccc(c(c2)C)Cl)C(=O)Nc3ccccc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C/c1cc(CCCCCC)c(*)s1,0.0,1.0,6.0,1.0,0.0,1.0,15.0,0.0,0.0,1.0,5.380062770465915,2.4589038059950217,192.097271512,6.0,7.0,2.45562074829932,39.02784531432067,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,5.0,3.0,0.2,0.0,0.0,9.0,7.0,0.0
*CC(CC(=O)Nc1ccc(O*)cc1)COc1ccc(-c2ccc(OCCCCCCCCCC(F)S(=O)(=O)c3ccc(OCC)cc3)cc2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1c(C)cc(C)c([Si](C)(C)[Si](C)(C)c2ccc(Oc3cc(S(*)(=O)=O)c5ccccc4)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(cc1)[C@@H]2C=C(NC[C@@H]2c3ccc(cc3)F)C#N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
